ISO_A3_EH,NAME,RECCAP region,Pan region
AFG,Afghanistan,Other,
ALB,Albania,Europe,
DZA,Algeria,Africa,
ASM,American Samoa,Other,
AND,Andorra,Europe,
AGO,Angola,Africa,
AIA,Anguilla,South America,Americas
ATA,Antarctica,Other,
ATG,Antigua and Barbuda,South America,Americas
ARG,Argentina,South America,Americas
ARM,Armenia,Other,
ABW,Aruba,South America,Americas
AUS,Australia,Australia,
AUT,Austria,Europe,
AZE,Azerbaijan,Other,
BHS,Bahamas,North America,Americas
BHR,Bahrain,Other,
BGD,Bangladesh,South Asia,
BRB,Barbados,South America,Americas
BLR,Belarus,Europe,
BEL,Belgium,Europe,
BLZ,Belize,North America,Americas
BEN,Benin,Africa,
BMU,Bermuda,North America,Americas
BTN,Bhutan,South Asia,
BOL,Bolivia,South America,Americas
BIH,Bosnia and Herzegovina,Europe,
BWA,Botswana,Africa,
BVT,Bouvet I.,Other,
IOT,Br. Indian Ocean Ter.,Other,
BRA,Brazil,South America,Americas
VGB,British Virgin Is.,South America,Americas
BRN,Brunei,Southeast Asia,
BGR,Bulgaria,Europe,
BFA,Burkina Faso,Africa,
BDI,Burundi,Africa,
CPV,Cabo Verde,Africa,
KHM,Cambodia,Southeast Asia,
CMR,Cameroon,Africa,
CAN,Canada,North America,
BES,Caribbean Netherlands,South America,Americas
CYM,Cayman Is.,North America,Americas
CAF,Central African Rep.,Africa,
TCD,Chad,Africa,
CHL,Chile,South America,Americas
CHN,China,East Asia,
CXR,Christmas I.,Southeast Asia,
CCK,Cocos Is.,Southeast Asia,
COL,Colombia,South America,Americas
COM,Comoros,Africa,
COG,Congo,Africa,
COK,Cook Is.,Other,
CRI,Costa Rica,North America,Americas
HRV,Croatia,Europe,
CUB,Cuba,North America,Americas
CUW,Curaçao,South America,Americas
CYP,Cyprus,Other,
CZE,Czechia,Europe,
CIV,Côte d'Ivoire,Africa,
COD,Dem. Rep. Congo,Africa,
DNK,Denmark,Europe,
DJI,Djibouti,Africa,
DMA,Dominica,South America,Americas
DOM,Dominican Rep.,North America,Americas
ECU,Ecuador,South America,Americas
EGY,Egypt,Africa,
SLV,El Salvador,North America,Americas
GNQ,Eq. Guinea,Africa,
ERI,Eritrea,Africa,
EST,Estonia,Europe,
ETH,Ethiopia,Africa,
FRO,Faeroe Is.,Europe,
FLK,Falkland Is.,South America,Americas
FJI,Fiji,Other,
FIN,Finland,Europe,
PYF,Fr. Polynesia,Other,
ATF,Fr. S. Antarctic Lands,Other,
FRA,France,Europe,
GUF,French Guiana,South America,Americas
GAB,Gabon,Africa,
GMB,Gambia,Africa,
GEO,Georgia,Other,
DEU,Germany,Europe,
GHA,Ghana,Africa,
GIB,Gibraltar,Europe,
GRC,Greece,Europe,
GRL,Greenland,Other,
GRD,Grenada,South America,Americas
GLP,Guadeloupe,South America,Americas
GUM,Guam,Other,
GTM,Guatemala,North America,Americas
GGY,Guernsey,Europe,
GIN,Guinea,Africa,
GNB,Guinea-Bissau,Africa,
GUY,Guyana,South America,Americas
HTI,Haiti,North America,Americas
HMD,Heard I. and McDonald Is.,Other,
HND,Honduras,North America,Americas
HKG,Hong Kong,East Asia,
HUN,Hungary,Europe,
ISL,Iceland,Europe,
IND,India,South Asia,
IDN,Indonesia,Southeast Asia,
IRN,Iran,Other,
IRQ,Iraq,Other,
IRL,Ireland,Europe,
IMN,Isle of Man,Europe,
ISR,Israel,Other,
PSE,Palestine,Other,
ITA,Italy,Europe,
JAM,Jamaica,North America,Americas
JPN,Japan,East Asia,
JEY,Jersey,Europe,
JOR,Jordan,Other,
KAZ,Kazakhstan,Other,
KEN,Kenya,Africa,
KIR,Kiribati,Other,
KWT,Kuwait,Other,
KGZ,Kyrgyzstan,Other,
LAO,Laos,Southeast Asia,
LVA,Latvia,Europe,
LBN,Lebanon,Other,
LSO,Lesotho,Africa,
LBR,Liberia,Africa,
LBY,Libya,Africa,
LIE,Liechtenstein,Europe,
LTU,Lithuania,Europe,
LUX,Luxembourg,Europe,
MAC,Macao,East Asia,
MDG,Madagascar,Africa,
MWI,Malawi,Africa,
MYS,Malaysia,Southeast Asia,
MDV,Maldives,Other,
MLI,Mali,Africa,
MLT,Malta,Europe,
MHL,Marshall Is.,Other,
MTQ,Martinique,South America,Americas
MRT,Mauritania,Africa,
MUS,Mauritius,Africa,
MYT,Mayotte,Africa,
MEX,Mexico,North America,Americas
FSM,Micronesia,Other,
MDA,Moldova,Europe,
MCO,Monaco,Europe,
MNG,Mongolia,East Asia,
MNE,Montenegro,Europe,
MSR,Montserrat,South America,Americas
MAR,Morocco,Africa,
MOZ,Mozambique,Africa,
MMR,Myanmar,Southeast Asia,
MNP,N. Mariana Is.,Other,
NAM,Namibia,Africa,
NRU,Nauru,Other,
NPL,Nepal,South Asia,
NLD,Netherlands,Europe,
NCL,New Caledonia,Other,
NZL,New Zealand,Australia,
NIC,Nicaragua,North America,Americas
NER,Niger,Africa,
NGA,Nigeria,Africa,
NIU,Niue,Other,
NFK,Norfolk Island,Other,
PRK,North Korea,East Asia,
MKD,North Macedonia,Europe,
NOR,Norway,Europe,
OMN,Oman,Other,
PAK,Pakistan,South Asia,
PLW,Palau,Other,
PAN,Panama,North America,Americas
PNG,Papua New Guinea,Southeast Asia,
PRY,Paraguay,South America,Americas
PER,Peru,South America,Americas
PHL,Philippines,Southeast Asia,
PCN,Pitcairn Is.,Other,
POL,Poland,Europe,
PRT,Portugal,Europe,
PRI,Puerto Rico,North America,Americas
QAT,Qatar,Other,
SRB,Republic of Serbia,Europe,
ROU,Romania,Europe,
RUS,Russia,Russia,
RWA,Rwanda,Africa,
REU,Réunion,Africa,
SGS,S. Geo. and the Is.,Other,
SSD,S. Sudan,Africa,
SHN,Saint Helena,Other,
LCA,Saint Lucia,South America,Americas
WSM,Samoa,Other,
SMR,San Marino,Europe,
SAU,Saudi Arabia,Other,
SEN,Senegal,Africa,
SYC,Seychelles,Other,
SLE,Sierra Leone,Africa,
SGP,Singapore,Southeast Asia,
SXM,Sint Maarten,South America,Americas
SVK,Slovakia,Europe,
SVN,Slovenia,Europe,
SLB,Solomon Is.,Other,
SOM,Somalia,Africa,
ZAF,South Africa,Africa,
KOR,South Korea,East Asia,
ESP,Spain,Europe,
LKA,Sri Lanka,South Asia,
BLM,St-Barthélemy,Other,
MAF,St-Martin,Other,
KNA,St. Kitts and Nevis,South America,Americas
SPM,St. Pierre and Miquelon,Other,
VCT,St. Vin. and Gren.,South America,Americas
SDN,Sudan,Africa,
SUR,Suriname,South America,Americas
SJM,Svalbard Is.,Europe,
SWE,Sweden,Europe,
CHE,Switzerland,Europe,
SYR,Syria,Other,
STP,São Tomé and Principe,Other,
TWN,Taiwan,East Asia,
TJK,Tajikistan,Other,
THA,Thailand,Southeast Asia,
TLS,Timor-Leste,Southeast Asia,
TGO,Togo,Africa,
TKL,Tokelau,Other,
TON,Tonga,Other,
TTO,Trinidad and Tobago,South America,Americas
TUN,Tunisia,Africa,
TUR,Turkey,Other,
TKM,Turkmenistan,Other,
TCA,Turks and Caicos Is.,North America,Americas
TUV,Tuvalu,Other,
VIR,U.S. Virgin Is.,South America,Americas
UGA,Uganda,Africa,
UKR,Ukraine,Europe,
ARE,United Arab Emirates,Other,
GBR,United Kingdom,Europe,
TZA,United Republic of Tanzania,Africa,
USA,United States of America,North America,
URY,Uruguay,South America,Americas
UZB,Uzbekistan,Other,
VUT,Vanuatu,Other,
VAT,Vatican,Europe,
VEN,Venezuela,South America,Americas
VNM,Vietnam,Southeast Asia,
ESH,W. Sahara,Africa,
WLF,Wallis and Futuna Is.,Other,
YEM,Yemen,Other,
ZMB,Zambia,Africa,
ZWE,Zimbabwe,Africa,
SWZ,eSwatini,Africa,
ALA,Åland,Other,
