fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"1",28409,,1.04545454545455,Da Hinggan-Dzhagdy Mountains conifer forests,"2090",,21.9006486161046,Dzhagdy_mountains_conifer_forest - NP,6,Asia
"2",29146,,6.25581395348837,Da Hinggan-Dzhagdy Mountains conifer forests,"2682",,27.0142678821438,Dzhagdy_mountains_conifer_forest - NP,6,Asia
"3",29475,,3.375,Da Hinggan-Dzhagdy Mountains conifer forests,"1182",,9.31913215649543,Dzhagdy_mountains_conifer_forest - NP,6,Asia
"4",25282,,6.68604651162791,East Siberian taiga,"606",3.52064317534842,,East_Siberian_taiga - NP,6,Asia
"5",25283,,14.2325581395349,East Siberian taiga,"1816",2.65275053101044,,East_Siberian_taiga - NP,6,Asia
"6",25362,,2.73863636363636,East Siberian taiga,"1234",0.68790975478838,,East_Siberian_taiga - NP,6,Asia
"7",25363,,7.11363636363636,East Siberian taiga,"4100",3.84416180971883,,East_Siberian_taiga - NP,6,Asia
"8",25364,,8.69318181818182,East Siberian taiga,"4721",2.1900618316515,,East_Siberian_taiga - NP,6,Asia
"9",25365,,10.8068181818182,East Siberian taiga,"2763",2.39057234285888,,East_Siberian_taiga - NP,6,Asia
"10",25444,,1.06976744186047,East Siberian taiga,"2",0.792967405417939,,East_Siberian_taiga - NP,6,Asia
"11",25445,,2.75581395348837,East Siberian taiga,"2900",0.447432734471469,,East_Siberian_taiga - NP,6,Asia
"12",25446,,3.86046511627907,East Siberian taiga,"2752",2.07222732942509,,East_Siberian_taiga - NP,6,Asia
"13",25447,,10.7093023255814,East Siberian taiga,"4808",1.21194452210832,,East_Siberian_taiga - NP,6,Asia
"14",25448,,6.11627906976744,East Siberian taiga,"3636",0.710302707896311,,East_Siberian_taiga - NP,6,Asia
"15",25449,,1.65116279069767,East Siberian taiga,"171",8.7523146753224,,East_Siberian_taiga - NP,6,Asia
"16",25526,,0.895348837209302,East Siberian taiga,"102",8.32386069943646,,East_Siberian_taiga - NP,6,Asia
"17",25528,,4.17441860465116,East Siberian taiga,"3295",5.25961408100824,,East_Siberian_taiga - NP,6,Asia
"18",25529,,9.62790697674419,East Siberian taiga,"4891",1.68257130722557,,East_Siberian_taiga - NP,6,Asia
"19",25530,,6.26744186046512,East Siberian taiga,"4690",0.0594129189965093,,East_Siberian_taiga - NP,6,Asia
"20",25531,,7.8953488372093,East Siberian taiga,"3170",0.791330156441496,,East_Siberian_taiga - NP,6,Asia
"21",25532,,4.65116279069767,East Siberian taiga,"463",6.22744443350032,,East_Siberian_taiga - NP,6,Asia
"22",25610,,0.579545454545455,East Siberian taiga,"678",4.82437784933655,,East_Siberian_taiga - NP,6,Asia
"23",25611,,5.65909090909091,East Siberian taiga,"4808",1.11650578945971,,East_Siberian_taiga - NP,6,Asia
"24",25612,,9.34090909090909,East Siberian taiga,"4974",0.916474618120246,,East_Siberian_taiga - NP,6,Asia
"25",25613,,1.70454545454545,East Siberian taiga,"5139",1.7448188461298,,East_Siberian_taiga - NP,6,Asia
"26",25614,,2.67045454545455,East Siberian taiga,"5209",0.858849088966005,,East_Siberian_taiga - NP,6,Asia
"27",25615,,2.09090909090909,East Siberian taiga,"1535",7.53874448545181,,East_Siberian_taiga - NP,6,Asia
"28",25692,,8.93023255813953,East Siberian taiga,"3111",2.11844847440499,,East_Siberian_taiga - NP,6,Asia
"29",25693,,9.41860465116279,East Siberian taiga,"4891",0.754487496537858,,East_Siberian_taiga - NP,6,Asia
"30",25694,,2.38372093023256,East Siberian taiga,"5057",0.300834519931428,,East_Siberian_taiga - NP,6,Asia
"31",25695,,1.94186046511628,East Siberian taiga,"5221",15.2581128547732,,East_Siberian_taiga - NP,6,Asia
"32",25696,,2.66279069767442,East Siberian taiga,"5384",1.29297607588781,,East_Siberian_taiga - NP,6,Asia
"33",25697,,2.16279069767442,East Siberian taiga,"2688",2.38283525976512,,East_Siberian_taiga - NP,6,Asia
"34",25701,,1.18604651162791,East Siberian taiga,"319",20.1844941148189,,East_Siberian_taiga - NP,6,Asia
"35",25775,,7.32558139534884,East Siberian taiga,"4715",2.68001074096346,,East_Siberian_taiga - NP,6,Asia
"36",25776,,8.87209302325581,East Siberian taiga,"4974",4.2739908576539,,East_Siberian_taiga - NP,6,Asia
"37",25777,,2.76744186046512,East Siberian taiga,"5139",6.49349640556206,,East_Siberian_taiga - NP,6,Asia
"38",25778,,4.81395348837209,East Siberian taiga,"5303",8.0377847733068,,East_Siberian_taiga - NP,6,Asia
"39",25779,,2,East Siberian taiga,"5464",0.781976172878902,,East_Siberian_taiga - NP,6,Asia
"40",25780,,2.7906976744186,East Siberian taiga,"3998",8.1196509093648,,East_Siberian_taiga - NP,6,Asia
"41",25783,,1.11627906976744,East Siberian taiga,"4577",0.632545806651744,,East_Siberian_taiga - NP,6,Asia
"42",25784,,0.906976744186046,East Siberian taiga,"1539",13.7896790079054,,East_Siberian_taiga - NP,6,Asia
"43",25785,,2.09302325581395,East Siberian taiga,"115",17.0255890944781,,East_Siberian_taiga - NP,6,Asia
"44",25856,,1.31818181818182,East Siberian taiga,"1275",3.80739429131299,,East_Siberian_taiga - NP,6,Asia
"45",25857,,8.40909090909091,East Siberian taiga,"4891",4.63964372858452,,East_Siberian_taiga - NP,6,Asia
"46",25858,,4.92045454545455,East Siberian taiga,"5057",2.72496536477912,,East_Siberian_taiga - NP,6,Asia
"47",25859,,6.03409090909091,East Siberian taiga,"5221",5.95877454364619,,East_Siberian_taiga - NP,6,Asia
"48",25860,,1.30681818181818,East Siberian taiga,"5384",7.15978787895779,,East_Siberian_taiga - NP,6,Asia
"49",25861,,1.25,East Siberian taiga,"5545",1.94437376797667,,East_Siberian_taiga - NP,6,Asia
"50",25862,,2.59090909090909,East Siberian taiga,"4487",12.660847771216,,East_Siberian_taiga - NP,6,Asia
"51",25863,,1.77272727272727,East Siberian taiga,"1485",29.7027703312115,,East_Siberian_taiga - NP,6,Asia
"52",25864,,1.63636363636364,East Siberian taiga,"2184",18.406290534674,,East_Siberian_taiga - NP,6,Asia
"53",25865,,1.07954545454545,East Siberian taiga,"4613",2.06102746601568,,East_Siberian_taiga - NP,6,Asia
"54",25866,,1.20454545454545,East Siberian taiga,"5589",3.77838113117424,,East_Siberian_taiga - NP,6,Asia
"55",25867,,2.40909090909091,East Siberian taiga,"1354",1.92672907215433,,East_Siberian_taiga - NP,6,Asia
"56",25939,,5.67441860465116,East Siberian taiga,"3177",2.36644649024873,,East_Siberian_taiga - NP,6,Asia
"57",25940,,7.6046511627907,East Siberian taiga,"4974",2.97881788932702,,East_Siberian_taiga - NP,6,Asia
"58",25941,,4.1046511627907,East Siberian taiga,"5139",12.6914047149964,,East_Siberian_taiga - NP,6,Asia
"59",25942,,1.69767441860465,East Siberian taiga,"5303",11.530640379027,,East_Siberian_taiga - NP,6,Asia
