fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"1",22505,,1.8953488372093,East European forest steppe,"473",1.60610674157042,,Eastern_European_forest_steppe,6,Europe
"2",17988,,6.09090909090909,Sarmatic mixed forests,"87",0,,Sarmatic_mixed_forest,6,Europe
"3",18071,,5.59302325581395,Sarmatic mixed forests,"2428",0,,Sarmatic_mixed_forest,6,Europe
"4",18152,,8.5,Sarmatic mixed forests,"1208",0,,Sarmatic_mixed_forest,6,Europe
"5",18235,,7.45454545454545,Sarmatic mixed forests,"2001",0,,Sarmatic_mixed_forest,6,Europe
"6",18562,,9.53571428571429,Sarmatic mixed forests,"1123",0,,Sarmatic_mixed_forest,6,Europe
"7",19794,,8.72093023255814,Sarmatic mixed forests,"4706",4.09570567810659,,Sarmatic_mixed_forest,6,Europe
"8",19875,,11.1162790697674,Sarmatic mixed forests,"2013",18.4569030919679,,Sarmatic_mixed_forest,6,Europe
"9",19957,,17.9545454545455,Sarmatic mixed forests,"197",2.71008305811211,,Sarmatic_mixed_forest,6,Europe
"10",20368,,13.3372093023256,Sarmatic mixed forests,"9",0.231676544514481,,Sarmatic_mixed_forest,6,Europe
"11",20369,,9.81395348837209,Sarmatic mixed forests,"284",8.09714119922947,,Sarmatic_mixed_forest,6,Europe
"12",20451,,17.1590909090909,Sarmatic mixed forests,"2421",16.523450026828,,Sarmatic_mixed_forest,6,Europe
"13",20614,,8.6046511627907,Sarmatic mixed forests,"518",4.00854711555287,,Sarmatic_mixed_forest,6,Europe
"14",21271,,6.36363636363636,Sarmatic mixed forests,"707",1.94186066792361,,Sarmatic_mixed_forest,6,Europe
"15",17742,,2.78409090909091,Scandinavian and Russian taiga,"54",0,,Scandanavian_Russian_taiga,6,Europe
"16",17743,,5.35227272727273,Scandinavian and Russian taiga,"887",0,,Scandanavian_Russian_taiga,6,Europe
"17",17744,,8.19318181818182,Scandinavian and Russian taiga,"1583",0,,Scandanavian_Russian_taiga,6,Europe
"18",17821,,5.75581395348837,Scandinavian and Russian taiga,"394",0,,Scandanavian_Russian_taiga,6,Europe
"19",17822,,1.5,Scandinavian and Russian taiga,"581",0,,Scandanavian_Russian_taiga,6,Europe
"20",17823,,4.18604651162791,Scandinavian and Russian taiga,"569",0,,Scandanavian_Russian_taiga,6,Europe
"21",17824,,6.19767441860465,Scandinavian and Russian taiga,"861",0,,Scandanavian_Russian_taiga,6,Europe
"22",17825,,8.3953488372093,Scandinavian and Russian taiga,"4346",0.428680967798307,,Scandanavian_Russian_taiga,6,Europe
"23",17826,,1.96511627906977,Scandinavian and Russian taiga,"28",0,,Scandanavian_Russian_taiga,6,Europe
"24",17903,,4.75581395348837,Scandinavian and Russian taiga,"1527",0,,Scandanavian_Russian_taiga,6,Europe
"25",17904,,3.22093023255814,Scandinavian and Russian taiga,"348",0,,Scandanavian_Russian_taiga,6,Europe
"26",17905,,5.65116279069767,Scandinavian and Russian taiga,"1399",0.0126769353745065,,Scandanavian_Russian_taiga,6,Europe
"27",17906,,7.80232558139535,Scandinavian and Russian taiga,"3740",0,,Scandanavian_Russian_taiga,6,Europe
"28",17907,,7.2906976744186,Scandinavian and Russian taiga,"5032",0,,Scandanavian_Russian_taiga,6,Europe
"29",17908,,1.94186046511628,Scandinavian and Russian taiga,"241",0,,Scandanavian_Russian_taiga,6,Europe
"30",17984,,4.59090909090909,Scandinavian and Russian taiga,"2730",0,,Scandanavian_Russian_taiga,6,Europe
"31",17985,,7.31818181818182,Scandinavian and Russian taiga,"3015",0,,Scandanavian_Russian_taiga,6,Europe
"32",17986,,4.625,Scandinavian and Russian taiga,"726",0,,Scandanavian_Russian_taiga,6,Europe
"33",17987,,7.96590909090909,Scandinavian and Russian taiga,"4166",0.0183100744146903,,Scandanavian_Russian_taiga,6,Europe
"34",17988,,6.09090909090909,Scandinavian and Russian taiga,"4967",0,,Scandanavian_Russian_taiga,6,Europe
"35",17989,,1.92045454545455,Scandinavian and Russian taiga,"1684",0,,Scandanavian_Russian_taiga,6,Europe
"36",18066,,5.93023255813953,Scandinavian and Russian taiga,"2211",0,,Scandanavian_Russian_taiga,6,Europe
"37",18067,,7.44186046511628,Scandinavian and Russian taiga,"3382",0.00453207171941241,,Scandanavian_Russian_taiga,6,Europe
"38",18068,,7.36046511627907,Scandinavian and Russian taiga,"1637",0,,Scandanavian_Russian_taiga,6,Europe
"39",18069,,9.1046511627907,Scandinavian and Russian taiga,"2630",0.00423746268114138,,Scandanavian_Russian_taiga,6,Europe
"40",18070,,6.54651162790698,Scandinavian and Russian taiga,"5256",0.521653567625507,,Scandanavian_Russian_taiga,6,Europe
"41",18071,,5.59302325581395,Scandinavian and Russian taiga,"2307",0,,Scandanavian_Russian_taiga,6,Europe
"42",18147,,5.95348837209302,Scandinavian and Russian taiga,"1505",0,,Scandanavian_Russian_taiga,6,Europe
"43",18148,,8.93023255813953,Scandinavian and Russian taiga,"4706",0.00461297312711405,,Scandanavian_Russian_taiga,6,Europe
"44",18149,,6.23255813953488,Scandinavian and Russian taiga,"1124",0,,Scandanavian_Russian_taiga,6,Europe
"45",18150,,8.04651162790698,Scandinavian and Russian taiga,"3976",0,,Scandanavian_Russian_taiga,6,Europe
"46",18151,,7.98837209302326,Scandinavian and Russian taiga,"5221",0.220200398215704,,Scandanavian_Russian_taiga,6,Europe
"47",18152,,8.5,Scandinavian and Russian taiga,"4178",0,,Scandanavian_Russian_taiga,6,Europe
"48",18153,,8.04651162790698,Scandinavian and Russian taiga,"112",0.00392619702644228,,Scandanavian_Russian_taiga,6,Europe
"49",18230,,7.79545454545455,Scandinavian and Russian taiga,"3606",0.00937365681609253,,Scandanavian_Russian_taiga,6,Europe
"50",18231,,5.77272727272727,Scandinavian and Russian taiga,"4363",0.0135761293789221,,Scandanavian_Russian_taiga,6,Europe
"51",18232,,6.39772727272727,Scandinavian and Russian taiga,"3089",0,,Scandanavian_Russian_taiga,6,Europe
"52",18233,,10.0795454545455,Scandinavian and Russian taiga,"5139",0,,Scandanavian_Russian_taiga,6,Europe
"53",18234,,11.8977272727273,Scandinavian and Russian taiga,"5303",0,,Scandanavian_Russian_taiga,6,Europe
"54",18235,,7.45454545454545,Scandinavian and Russian taiga,"3168",0,,Scandanavian_Russian_taiga,6,Europe
"55",18311,,5.75,Scandinavian and Russian taiga,"1098",0.0143116415495075,,Scandanavian_Russian_taiga,6,Europe
"56",18312,,7.59523809523809,Scandinavian and Russian taiga,"4724",0,,Scandanavian_Russian_taiga,6,Europe
"57",18313,,9.16666666666667,Scandinavian and Russian taiga,"4276",0.00445438379501631,,Scandanavian_Russian_taiga,6,Europe
"58",18314,,10.0833333333333,Scandinavian and Russian taiga,"5057",0.77818704422536,,Scandanavian_Russian_taiga,6,Europe
"59",18315,,14.7261904761905,Scandinavian and Russian taiga,"5221",0.0663395066758215,,Scandanavian_Russian_taiga,6,Europe
"60",18316,,11.5357142857143,Scandinavian and Russian taiga,"5384",0.00807151043100847,,Scandanavian_Russian_taiga,6,Europe
"61",18317,,4.77380952380952,Scandinavian and Russian taiga,"89",0.015635279957101,,Scandanavian_Russian_taiga,6,Europe
"62",18393,,6.18181818181818,Scandinavian and Russian taiga,"129",0,,Scandanavian_Russian_taiga,6,Europe
"63",18394,,7.79545454545455,Scandinavian and Russian taiga,"4110",0.0234644580783203,,Scandanavian_Russian_taiga,6,Europe
"64",18395,,12.4090909090909,Scandinavian and Russian taiga,"4808",0,,Scandanavian_Russian_taiga,6,Europe
"65",18396,,12.9318181818182,Scandinavian and Russian taiga,"4974",0.00437949535713256,,Scandanavian_Russian_taiga,6,Europe
"66",18397,,10.5340909090909,Scandinavian and Russian taiga,"5139",0.664563527610573,,Scandanavian_Russian_taiga,6,Europe
"67",18398,,12.125,Scandinavian and Russian taiga,"5303",0.00410649768478129,,Scandanavian_Russian_taiga,6,Europe
"68",18399,,9.93181818181818,Scandinavian and Russian taiga,"4294",0,,Scandanavian_Russian_taiga,6,Europe
"69",18474,,7.95454545454545,Scandinavian and Russian taiga,"214",0,,Scandanavian_Russian_taiga,6,Europe
"70",18475,,9.44318181818182,Scandinavian and Russian taiga,"2735",0.00956938474788229,,Scandanavian_Russian_taiga,6,Europe
"71",18476,,11.4545454545455,Scandinavian and Russian taiga,"4724",0,,Scandanavian_Russian_taiga,6,Europe
"72",18477,,11,Scandinavian and Russian taiga,"4891",0.0841074997967656,,Scandanavian_Russian_taiga,6,Europe
"73",18478,,9.70454545454546,Scandinavian and Russian taiga,"5057",1.34265929337736,,Scandanavian_Russian_taiga,6,Europe
"74",18479,,9.40909090909091,Scandinavian and Russian taiga,"5221",0,,Scandanavian_Russian_taiga,6,Europe
"75",18480,,9.51136363636364,Scandinavian and Russian taiga,"5365",0,,Scandanavian_Russian_taiga,6,Europe
"76",18481,,7.39772727272727,Scandinavian and Russian taiga,"331",0,,Scandanavian_Russian_taiga,6,Europe
"77",18556,,8.82142857142857,Scandinavian and Russian taiga,"38",0,,Scandanavian_Russian_taiga,6,Europe
"78",18557,,11.7738095238095,Scandinavian and Russian taiga,"3195",0.0194218320657089,,Scandanavian_Russian_taiga,6,Europe
"79",18558,,9.23809523809524,Scandinavian and Russian taiga,"4640",0,,Scandanavian_Russian_taiga,6,Europe
"80",18559,,9.84523809523809,Scandinavian and Russian taiga,"4808",0.00453181802134418,,Scandanavian_Russian_taiga,6,Europe
"81",18560,,8.91666666666667,Scandinavian and Russian taiga,"4974",0,,Scandanavian_Russian_taiga,6,Europe
"82",18561,,8.46428571428571,Scandinavian and Russian taiga,"5139",0.0168791455010865,,Scandanavian_Russian_taiga,6,Europe
"83",18562,,9.53571428571429,Scandinavian and Russian taiga,"4181",0,,Scandanavian_Russian_taiga,6,Europe
"84",18563,,7.01190476190476,Scandinavian and Russian taiga,"930",2.20590612285547,,Scandanavian_Russian_taiga,6,Europe
"85",18637,,8.63636363636364,Scandinavian and Russian taiga,"16",0,,Scandanavian_Russian_taiga,6,Europe
"86",18638,,11.9772727272727,Scandinavian and Russian taiga,"2746",0,,Scandanavian_Russian_taiga,6,Europe
"87",18639,,11.5795454545455,Scandinavian and Russian taiga,"4555",0,,Scandanavian_Russian_taiga,6,Europe
"88",18640,,9.30681818181818,Scandinavian and Russian taiga,"4724",0,,Scandanavian_Russian_taiga,6,Europe
"89",18641,,9.84090909090909,Scandinavian and Russian taiga,"4870",0,,Scandanavian_Russian_taiga,6,Europe
"90",18642,,7.05681818181818,Scandinavian and Russian taiga,"3575",0,,Scandanavian_Russian_taiga,6,Europe
"91",18643,,6.05681818181818,Scandinavian and Russian taiga,"2485",0,,Scandanavian_Russian_taiga,6,Europe
