fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"1",10539,0,3.38372093023256,New England-Acadian forests,"4887",,,Acadian_forest,6,North America
"2",10620,0,3.74418604651163,New England-Acadian forests,"1118",,,Acadian_forest,6,North America
"3",11360,0,1.22093023255814,New England-Acadian forests,"877",,,Acadian_forest,6,North America
"4",1593,0,0.988372093023256,Alaska Peninsula montane taiga,"31",,,Alaska_Peninsula_montane_taiga,6,North America
"5",1675,0,3.5,Alaska Peninsula montane taiga,"1926",,,Alaska_Peninsula_montane_taiga,6,North America
"6",1756,0,3.98863636363636,Alaska Peninsula montane taiga,"845",,,Alaska_Peninsula_montane_taiga,6,North America
"7",1757,0,0.625,Alaska Peninsula montane taiga,"414",,,Alaska_Peninsula_montane_taiga,6,North America
"8",1838,0,4.66279069767442,Alaska Peninsula montane taiga,"100",,,Alaska_Peninsula_montane_taiga,6,North America
"9",1839,0,1.5,Alaska Peninsula montane taiga,"1688",,,Alaska_Peninsula_montane_taiga,6,North America
"10",1920,0,4.94186046511628,Alaska Peninsula montane taiga,"2882",,,Alaska_Peninsula_montane_taiga,6,North America
"11",2002,0,9.96590909090909,Alaska Peninsula montane taiga,"2615",,,Alaska_Peninsula_montane_taiga,6,North America
"12",2003,0,0.193181818181818,Alaska Peninsula montane taiga,"41",,,Alaska_Peninsula_montane_taiga,6,North America
"13",2083,0,11.4302325581395,Alaska Peninsula montane taiga,"2666",,,Alaska_Peninsula_montane_taiga,6,North America
"14",2084,0,0,Alaska Peninsula montane taiga,"29",,,Alaska_Peninsula_montane_taiga,6,North America
"15",2165,0,10.9186046511628,Alaska Peninsula montane taiga,"2395",,,Alaska_Peninsula_montane_taiga,6,North America
"16",2166,0,0.290697674418605,Alaska Peninsula montane taiga,"379",,,Alaska_Peninsula_montane_taiga,6,North America
"17",2245,0.425548724124321,4.45454545454545,Alaska Peninsula montane taiga,"40",,,Alaska_Peninsula_montane_taiga,6,North America
"18",2246,0,4.15909090909091,Alaska Peninsula montane taiga,"1750",,,Alaska_Peninsula_montane_taiga,6,North America
"19",2247,0,0.147727272727273,Alaska Peninsula montane taiga,"332",,,Alaska_Peninsula_montane_taiga,6,North America
"20",2327,0.756175524118305,1.17441860465116,Alaska Peninsula montane taiga,"877",,,Alaska_Peninsula_montane_taiga,6,North America
"21",2328,0.00387009046259998,4.93023255813953,Alaska Peninsula montane taiga,"4038",,,Alaska_Peninsula_montane_taiga,6,North America
"22",2329,0,0.418604651162791,Alaska Peninsula montane taiga,"582",,,Alaska_Peninsula_montane_taiga,6,North America
"23",2409,0.0313915879713056,2.13953488372093,Alaska Peninsula montane taiga,"4389",,,Alaska_Peninsula_montane_taiga,6,North America
"24",2410,0,0.988372093023256,Alaska Peninsula montane taiga,"1499",,,Alaska_Peninsula_montane_taiga,6,North America
