fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"1",20793,,0.0340909090909091,Caucasus mixed forests,"0",0,,Caucasus_mixed_forest,4,Asia
"2",20793,,0.0340909090909091,Caucasus mixed forests,"94",0,,Caucasus_mixed_forest,4,Asia
"3",20793,,0.0340909090909091,Caucasus mixed forests,"9",0,,Caucasus_mixed_forest,4,Asia
"4",20875,,3.51162790697674,Caucasus mixed forests,"0",0.299198068095968,,Caucasus_mixed_forest,4,Asia
"5",20875,,3.51162790697674,Caucasus mixed forests,"3015",0.299198068095968,,Caucasus_mixed_forest,4,Asia
"6",20878,,1.30232558139535,Caucasus mixed forests,"88",0.0516899903327329,,Caucasus_mixed_forest,4,Asia
"7",20957,,3.13953488372093,Caucasus mixed forests,"0",0.214908583910338,,Caucasus_mixed_forest,4,Asia
"8",20957,,3.13953488372093,Caucasus mixed forests,"1303",0.214908583910338,,Caucasus_mixed_forest,4,Asia
"9",20957,,3.13953488372093,Caucasus mixed forests,"4285",0.214908583910338,,Caucasus_mixed_forest,4,Asia
"10",20958,,0.86046511627907,Caucasus mixed forests,"6",0,,Caucasus_mixed_forest,4,Asia
"11",20959,,2.38372093023256,Caucasus mixed forests,"3273",0.0508142846201881,,Caucasus_mixed_forest,4,Asia
"12",20960,,0.0813953488372093,Caucasus mixed forests,"1632",0.210518336976313,,Caucasus_mixed_forest,4,Asia
"13",21039,,1.75,Caucasus mixed forests,"0",6.73648544900888,,Caucasus_mixed_forest,4,Asia
"14",21039,,1.75,Caucasus mixed forests,"6090",6.73648544900888,,Caucasus_mixed_forest,4,Asia
"15",21039,,1.75,Caucasus mixed forests,"1295",6.73648544900888,,Caucasus_mixed_forest,4,Asia
"16",21040,,3.10227272727273,Caucasus mixed forests,"4874",0,,Caucasus_mixed_forest,4,Asia
"17",21041,,2.875,Caucasus mixed forests,"7769",0.0134750463921115,,Caucasus_mixed_forest,4,Asia
"18",21042,,0.215909090909091,Caucasus mixed forests,"5936",0.00796591281895317,,Caucasus_mixed_forest,4,Asia
"19",21121,,2.27906976744186,Caucasus mixed forests,"3851",2.45100909247914,,Caucasus_mixed_forest,4,Asia
"20",21121,,2.27906976744186,Caucasus mixed forests,"3994",2.45100909247914,,Caucasus_mixed_forest,4,Asia
"21",21122,,2.33720930232558,Caucasus mixed forests,"6687",0,,Caucasus_mixed_forest,4,Asia
"22",21123,,0.744186046511628,Caucasus mixed forests,"4101",0.644777092565582,,Caucasus_mixed_forest,4,Asia
"23",21124,,0.0116279069767442,Caucasus mixed forests,"1652",0.312923040308072,,Caucasus_mixed_forest,4,Asia
"24",21204,,2.2093023255814,Caucasus mixed forests,"2269",0.745265268266251,,Caucasus_mixed_forest,4,Asia
"25",21204,,2.2093023255814,Caucasus mixed forests,"5636",0.745265268266251,,Caucasus_mixed_forest,4,Asia
"26",21205,,1.5,Caucasus mixed forests,"3800",0,,Caucasus_mixed_forest,4,Asia
"27",21206,,0.302325581395349,Caucasus mixed forests,"1652",0.742322118732934,,Caucasus_mixed_forest,4,Asia
"28",21285,,1.23863636363636,Caucasus mixed forests,"0",17.5300682299394,,Caucasus_mixed_forest,4,Asia
"29",21285,,1.23863636363636,Caucasus mixed forests,"3953",17.5300682299394,,Caucasus_mixed_forest,4,Asia
"30",21285,,1.23863636363636,Caucasus mixed forests,"1407",17.5300682299394,,Caucasus_mixed_forest,4,Asia
"31",21286,,1.48863636363636,Caucasus mixed forests,"6427",0,,Caucasus_mixed_forest,4,Asia
"32",21287,,0.897727272727273,Caucasus mixed forests,"6293",0,,Caucasus_mixed_forest,4,Asia
"33",21288,,0.318181818181818,Caucasus mixed forests,"1149",0.562744074522035,,Caucasus_mixed_forest,4,Asia
"34",21368,,1.73255813953488,Caucasus mixed forests,"0",3.75926294087149,,Caucasus_mixed_forest,4,Asia
"35",21368,,1.73255813953488,Caucasus mixed forests,"5538",3.75926294087149,,Caucasus_mixed_forest,4,Asia
"36",21368,,1.73255813953488,Caucasus mixed forests,"2327",3.75926294087149,,Caucasus_mixed_forest,4,Asia
"37",21369,,0.22093023255814,Caucasus mixed forests,"2547",0,,Caucasus_mixed_forest,4,Asia
"38",21370,,0.686046511627907,Caucasus mixed forests,"6287",0,,Caucasus_mixed_forest,4,Asia
"39",21371,,0.511627906976744,Caucasus mixed forests,"4331",0,,Caucasus_mixed_forest,4,Asia
"40",21450,,1.09302325581395,Caucasus mixed forests,"0",1.18975648423733,,Caucasus_mixed_forest,4,Asia
"41",21450,,1.09302325581395,Caucasus mixed forests,"4833",1.18975648423733,,Caucasus_mixed_forest,4,Asia
"42",21450,,1.09302325581395,Caucasus mixed forests,"2655",1.18975648423733,,Caucasus_mixed_forest,4,Asia
"43",21451,,0.0581395348837209,Caucasus mixed forests,"813",0,,Caucasus_mixed_forest,4,Asia
"44",21452,,0.790697674418605,Caucasus mixed forests,"6910",0,,Caucasus_mixed_forest,4,Asia
"45",21453,,0.209302325581395,Caucasus mixed forests,"2843",0,,Caucasus_mixed_forest,4,Asia
"46",21533,,0.863636363636364,Caucasus mixed forests,"5538",5.86238906824413,,Caucasus_mixed_forest,4,Asia
"47",21533,,0.863636363636364,Caucasus mixed forests,"2088",5.86238906824413,,Caucasus_mixed_forest,4,Asia
"48",21534,,0.125,Caucasus mixed forests,"242",0,,Caucasus_mixed_forest,4,Asia
"49",21535,,0.0454545454545455,Caucasus mixed forests,"173",0,,Caucasus_mixed_forest,4,Asia
"50",21614,,0.290697674418605,Caucasus mixed forests,"0",1.54709502289048,,Caucasus_mixed_forest,4,Asia
"51",21614,,0.290697674418605,Caucasus mixed forests,"2203",1.54709502289048,,Caucasus_mixed_forest,4,Asia
"52",21614,,0.290697674418605,Caucasus mixed forests,"757",1.54709502289048,,Caucasus_mixed_forest,4,Asia
"53",21615,,0.813953488372093,Caucasus mixed forests,"0",0.115876792309501,,Caucasus_mixed_forest,4,Asia
"54",21615,,0.813953488372093,Caucasus mixed forests,"49",0.115876792309501,,Caucasus_mixed_forest,4,Asia
"55",21615,,0.813953488372093,Caucasus mixed forests,"5397",0.115876792309501,,Caucasus_mixed_forest,4,Asia
"56",21697,,0.0930232558139535,Caucasus mixed forests,"316",0,,Caucasus_mixed_forest,4,Asia
"57",28834,,0.13953488372093,Central Korean deciduous forests,"512",,0.19046179240404,Central_Korean_deciduous_forest,4,Asia
"58",28915,,1.21590909090909,Central Korean deciduous forests,"405",,0.685146196793262,Central_Korean_deciduous_forest,4,Asia
"59",28916,,0.681818181818182,Central Korean deciduous forests,"7124",,0.474148818655633,Central_Korean_deciduous_forest,4,Asia
"60",28917,,0.25,Central Korean deciduous forests,"808",,0.327065489824707,Central_Korean_deciduous_forest,4,Asia
"61",28997,,2.19767441860465,Central Korean deciduous forests,"2372",,2.86928549049236,Central_Korean_deciduous_forest,4,Asia
"62",28998,,0.918604651162791,Central Korean deciduous forests,"5997",,2.49891956464006,Central_Korean_deciduous_forest,4,Asia
"63",28999,,0.779069767441861,Central Korean deciduous forests,"1598",,0.143510558660855,Central_Korean_deciduous_forest,4,Asia
"64",29000,,0.383720930232558,Central Korean deciduous forests,"1160",,0.00998661788112319,Central_Korean_deciduous_forest,4,Asia
"65",29001,,1.13953488372093,Central Korean deciduous forests,"1031",,0.228424219169698,Central_Korean_deciduous_forest,4,Asia
"66",29078,,5.02325581395349,Central Korean deciduous forests,"20",,1.48035656521299,Central_Korean_deciduous_forest,4,Asia
"67",29079,,3.31395348837209,Central Korean deciduous forests,"3163",,8.46810552362015,Central_Korean_deciduous_forest,4,Asia
"68",29080,,2.73255813953488,Central Korean deciduous forests,"4794",,13.8063577987219,Central_Korean_deciduous_forest,4,Asia
"69",29081,,1.46511627906977,Central Korean deciduous forests,"8149",,0.533170153200112,Central_Korean_deciduous_forest,4,Asia
"70",29082,,1.80232558139535,Central Korean deciduous forests,"8403",,0.67524165493313,Central_Korean_deciduous_forest,4,Asia
"71",29083,,1.88372093023256,Central Korean deciduous forests,"8502",,1.32476844277902,Central_Korean_deciduous_forest,4,Asia
"72",29084,,1.18604651162791,Central Korean deciduous forests,"224",,0,Central_Korean_deciduous_forest,4,Asia
"73",29160,,1.58139534883721,Central Korean deciduous forests,"2495",,1.89846536506493,Central_Korean_deciduous_forest,4,Asia
"74",29161,,0.988372093023256,Central Korean deciduous forests,"1254",,10.4146236796717,Central_Korean_deciduous_forest,4,Asia
"75",29162,,3.83720930232558,Central Korean deciduous forests,"4378",,2.7414855954202,Central_Korean_deciduous_forest,4,Asia
"76",29163,,2.77906976744186,Central Korean deciduous forests,"8523",,0.381760903795726,Central_Korean_deciduous_forest,4,Asia
"77",29164,,1.67441860465116,Central Korean deciduous forests,"8664",,0.172141723842638,Central_Korean_deciduous_forest,4,Asia
"78",29165,,1.43023255813953,Central Korean deciduous forests,"2147",,0.0958288909698935,Central_Korean_deciduous_forest,4,Asia
"79",29242,,2.11363636363636,Central Korean deciduous forests,"627",,2.51037910201692,Central_Korean_deciduous_forest,4,Asia
"80",29244,,0.375,Central Korean deciduous forests,"672",,0.597914950936777,Central_Korean_deciduous_forest,4,Asia
"81",29245,,3.19318181818182,Central Korean deciduous forests,"4323",,0.744512258546737,Central_Korean_deciduous_forest,4,Asia
"82",29246,,2.28409090909091,Central Korean deciduous forests,"8607",,0.182582218414198,Central_Korean_deciduous_forest,4,Asia
"83",29247,,1.47727272727273,Central Korean deciduous forests,"5050",,0.0938799307252913,Central_Korean_deciduous_forest,4,Asia
"84",29327,,0.372093023255814,Central Korean deciduous forests,"963",,0.128371284659855,Central_Korean_deciduous_forest,4,Asia
"85",29328,,0.116279069767442,Central Korean deciduous forests,"1395",,0,Central_Korean_deciduous_forest,4,Asia
"86",28832,,1.38372093023256,Changbai Mountains mixed forests,"737",,2.87627518475852,Changbai_mountains_mixed_forest,4,Asia
"87",28912,,2.36363636363636,Changbai Mountains mixed forests,"88",,1.23931436455912,Changbai_mountains_mixed_forest,4,Asia
"88",28913,,4.45454545454545,Changbai Mountains mixed forests,"274",,0.255282528657735,Changbai_mountains_mixed_forest,4,Asia
"89",28914,,5.10227272727273,Changbai Mountains mixed forests,"1822",,0.21478996753248,Changbai_mountains_mixed_forest,4,Asia
"90",28993,,3.09302325581395,Changbai Mountains mixed forests,"1156",,1.92781351809744,Changbai_mountains_mixed_forest,4,Asia
"91",28994,,4.8953488372093,Changbai Mountains mixed forests,"6698",,0.170687553051441,Changbai_mountains_mixed_forest,4,Asia
"92",28995,,4.75581395348837,Changbai Mountains mixed forests,"7000",,0.0961683796566451,Changbai_mountains_mixed_forest,4,Asia
"93",28996,,4.62790697674419,Changbai Mountains mixed forests,"3327",,2.93063125333713,Changbai_mountains_mixed_forest,4,Asia
"94",29075,,3.80232558139535,Changbai Mountains mixed forests,"1224",,1.99842730925755,Changbai_mountains_mixed_forest,4,Asia
"95",29076,,5.69767441860465,Changbai Mountains mixed forests,"7908",,0.105301328389459,Changbai_mountains_mixed_forest,4,Asia
"96",29077,,6,Changbai Mountains mixed forests,"8031",,0.5519547941192,Changbai_mountains_mixed_forest,4,Asia
"97",29078,,5.02325581395349,Changbai Mountains mixed forests,"7276",,1.48035656521299,Changbai_mountains_mixed_forest,4,Asia
"98",29079,,3.31395348837209,Changbai Mountains mixed forests,"1635",,8.46810552362015,Changbai_mountains_mixed_forest,4,Asia
"99",29156,,5.36046511627907,Changbai Mountains mixed forests,"113",,1.05593987546864,Changbai_mountains_mixed_forest,4,Asia
"100",29157,,5.38372093023256,Changbai Mountains mixed forests,"6159",,0.234072492418964,Changbai_mountains_mixed_forest,4,Asia
"101",29158,,6.69767441860465,Changbai Mountains mixed forests,"7970",,1.35260377599981,Changbai_mountains_mixed_forest,4,Asia
"102",29159,,4.06976744186047,Changbai Mountains mixed forests,"7628",,6.10682430467631,Changbai_mountains_mixed_forest,4,Asia
"103",29160,,1.58139534883721,Changbai Mountains mixed forests,"233",,1.89846536506493,Changbai_mountains_mixed_forest,4,Asia
"104",29240,,5.27272727272727,Changbai Mountains mixed forests,"3986",,2.53771623210554,Changbai_mountains_mixed_forest,4,Asia
"105",29241,,4.63636363636364,Changbai Mountains mixed forests,"7540",,4.4148333361199,Changbai_mountains_mixed_forest,4,Asia
"106",29242,,2.11363636363636,Changbai Mountains mixed forests,"1039",,2.51037910201692,Changbai_mountains_mixed_forest,4,Asia
"107",29321,,2.63953488372093,Changbai Mountains mixed forests,"434",,7.037560167518,Changbai_mountains_mixed_forest,4,Asia
"108",29322,,3.54651162790698,Changbai Mountains mixed forests,"2980",,5.10533647064705,Changbai_mountains_mixed_forest,4,Asia
"109",29323,,1.01162790697674,Changbai Mountains mixed forests,"59",,1.23859203790406,Changbai_mountains_mixed_forest,4,Asia
"110",29404,,1.67441860465116,Changbai Mountains mixed forests,"281",,15.8005808603882,Changbai_mountains_mixed_forest,4,Asia
"111",27531,,1.23255813953488,Changjiang Plain evergreen forests,"299",,0.42971634972908,Changjiang_Plain_evergreen_forest,4,Asia
"112",27532,,1.16279069767442,Changjiang Plain evergreen forests,"690",,1.40808093123638,Changjiang_Plain_evergreen_forest,4,Asia
"113",27610,,0.886363636363636,Changjiang Plain evergreen forests,"190",,13.2547467147457,Changjiang_Plain_evergreen_forest,4,Asia
"114",27612,,0.943181818181818,Changjiang Plain evergreen forests,"2906",,0.171836623999592,Changjiang_Plain_evergreen_forest,4,Asia
"115",27613,,1.02272727272727,Changjiang Plain evergreen forests,"1562",,0.714984516970009,Changjiang_Plain_evergreen_forest,4,Asia
"116",27614,,0.659090909090909,Changjiang Plain evergreen forests,"3346",,0.370233462000601,Changjiang_Plain_evergreen_forest,4,Asia
"117",27690,,0.418604651162791,Changjiang Plain evergreen forests,"2",,8.00830719488511,Changjiang_Plain_evergreen_forest,4,Asia
"118",27691,,0.290697674418605,Changjiang Plain evergreen forests,"6556",,27.5949678320192,Changjiang_Plain_evergreen_forest,4,Asia
"119",27692,,0.418604651162791,Changjiang Plain evergreen forests,"6931",,16.6614074511746,Changjiang_Plain_evergreen_forest,4,Asia
"120",27693,,0.348837209302326,Changjiang Plain evergreen forests,"2385",,1.41958555731984,Changjiang_Plain_evergreen_forest,4,Asia
"121",27694,,2.16279069767442,Changjiang Plain evergreen forests,"8429",,5.86601396761038,Changjiang_Plain_evergreen_forest,4,Asia
"122",27695,,1.59302325581395,Changjiang Plain evergreen forests,"9324",,3.68998492847107,Changjiang_Plain_evergreen_forest,4,Asia
"123",27696,,0.244186046511628,Changjiang Plain evergreen forests,"5075",,0.856378270980379,Changjiang_Plain_evergreen_forest,4,Asia
"124",27697,,0.372093023255814,Changjiang Plain evergreen forests,"2848",,1.80625980106449,Changjiang_Plain_evergreen_forest,4,Asia
"125",27773,,0.325581395348837,Changjiang Plain evergreen forests,"5755",,43.4977101968993,Changjiang_Plain_evergreen_forest,4,Asia
"126",27774,,0.581395348837209,Changjiang Plain evergreen forests,"9025",,3.17704102407452,Changjiang_Plain_evergreen_forest,4,Asia
"127",27775,,0.709302325581395,Changjiang Plain evergreen forests,"9122",,0.812702656705482,Changjiang_Plain_evergreen_forest,4,Asia
"128",27776,,1.09302325581395,Changjiang Plain evergreen forests,"9217",,4.20496651135318,Changjiang_Plain_evergreen_forest,4,Asia
"129",27777,,1.02325581395349,Changjiang Plain evergreen forests,"9267",,6.20198116048268,Changjiang_Plain_evergreen_forest,4,Asia
"130",27778,,0.290697674418605,Changjiang Plain evergreen forests,"4882",,1.32201034907981,Changjiang_Plain_evergreen_forest,4,Asia
"131",27779,,0.27906976744186,Changjiang Plain evergreen forests,"4672",,4.04063658597291,Changjiang_Plain_evergreen_forest,4,Asia
"132",27780,,0.534883720930233,Changjiang Plain evergreen forests,"66",,4.39600451331253,Changjiang_Plain_evergreen_forest,4,Asia
"133",27854,,0.409090909090909,Changjiang Plain evergreen forests,"122",,31.7045747579813,Changjiang_Plain_evergreen_forest,4,Asia
"134",27855,,0.806818181818182,Changjiang Plain evergreen forests,"4308",,54.7133090569817,Changjiang_Plain_evergreen_forest,4,Asia
"135",27856,,0.636363636363636,Changjiang Plain evergreen forests,"7740",,5.0192513165487,Changjiang_Plain_evergreen_forest,4,Asia
"136",27857,,0.522727272727273,Changjiang Plain evergreen forests,"9170",,1.19974205622542,Changjiang_Plain_evergreen_forest,4,Asia
"137",27858,,0.931818181818182,Changjiang Plain evergreen forests,"9263",,4.06497549372566,Changjiang_Plain_evergreen_forest,4,Asia
"138",27859,,0.522727272727273,Changjiang Plain evergreen forests,"1948",,5.07448585591229,Changjiang_Plain_evergreen_forest,4,Asia
"139",27860,,0.363636363636364,Changjiang Plain evergreen forests,"2895",,1.80620200645423,Changjiang_Plain_evergreen_forest,4,Asia
"140",27938,,1.06976744186047,Changjiang Plain evergreen forests,"691",,43.1312555511703,Changjiang_Plain_evergreen_forest,4,Asia
"141",27939,,0.744186046511628,Changjiang Plain evergreen forests,"9122",,0.691491072339533,Changjiang_Plain_evergreen_forest,4,Asia
"142",27940,,0.965116279069767,Changjiang Plain evergreen forests,"9217",,0.64539217703604,Changjiang_Plain_evergreen_forest,4,Asia
"143",27941,,0.383720930232558,Changjiang Plain evergreen forests,"5370",,12.287274601816,Changjiang_Plain_evergreen_forest,4,Asia
"144",27942,,0.523255813953488,Changjiang Plain evergreen forests,"4794",,0.983276712848831,Changjiang_Plain_evergreen_forest,4,Asia
"145",27943,,0.395348837209302,Changjiang Plain evergreen forests,"6445",,3.43909791201938,Changjiang_Plain_evergreen_forest,4,Asia
"146",27944,,0.558139534883721,Changjiang Plain evergreen forests,"1614",,2.8080460601726,Changjiang_Plain_evergreen_forest,4,Asia
"147",28019,,2.11627906976744,Changjiang Plain evergreen forests,"159",,69.322925252948,Changjiang_Plain_evergreen_forest,4,Asia
"148",28020,,0.697674418604651,Changjiang Plain evergreen forests,"7458",,4.39459597708374,Changjiang_Plain_evergreen_forest,4,Asia
"149",28021,,0.86046511627907,Changjiang Plain evergreen forests,"9170",,1.04090272036552,Changjiang_Plain_evergreen_forest,4,Asia
"150",28022,,0.86046511627907,Changjiang Plain evergreen forests,"9263",,4.34826786262869,Changjiang_Plain_evergreen_forest,4,Asia
"151",28023,,1.22093023255814,Changjiang Plain evergreen forests,"8477",,5.8625763645354,Changjiang_Plain_evergreen_forest,4,Asia
"152",28024,,0.476744186046512,Changjiang Plain evergreen forests,"5283",,3.14673948897997,Changjiang_Plain_evergreen_forest,4,Asia
"153",28102,,1.86046511627907,Changjiang Plain evergreen forests,"5362",,35.1269267816336,Changjiang_Plain_evergreen_forest,4,Asia
"154",28103,,0.569767441860465,Changjiang Plain evergreen forests,"9122",,1.52531432505024,Changjiang_Plain_evergreen_forest,4,Asia
"155",28104,,0.767441860465116,Changjiang Plain evergreen forests,"9217",,1.98108570781039,Changjiang_Plain_evergreen_forest,4,Asia
"156",28105,,0.767441860465116,Changjiang Plain evergreen forests,"9308",,2.34405146746702,Changjiang_Plain_evergreen_forest,4,Asia
"157",28106,,0.895348837209302,Changjiang Plain evergreen forests,"9110",,4.33485811164077,Changjiang_Plain_evergreen_forest,4,Asia
"158",28107,,0.290697674418605,Changjiang Plain evergreen forests,"1187",,3.71183754110028,Changjiang_Plain_evergreen_forest,4,Asia
"159",28183,,1.44318181818182,Changjiang Plain evergreen forests,"5408",,30.3138651421019,Changjiang_Plain_evergreen_forest,4,Asia
"160",28184,,0.636363636363636,Changjiang Plain evergreen forests,"9074",,2.33600224401634,Changjiang_Plain_evergreen_forest,4,Asia
