fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"1",17511,,0.779069767441861,Alps conifer and mixed forests,"1055",0.241509344515098,,Alps_conifer_forest,5,Europe
"2",17592,,1.98837209302326,Alps conifer and mixed forests,"118",0.0936676159495874,,Alps_conifer_forest,5,Europe
"3",17593,,1.98837209302326,Alps conifer and mixed forests,"3109",0.1608655929038,,Alps_conifer_forest,4,Europe
"4",17593,,1.98837209302326,Alps conifer and mixed forests,"3109",0.1608655929038,,Alps_conifer_forest,5,Europe
"5",17594,,0.837209302325581,Alps conifer and mixed forests,"2732",0.124259230173066,,Alps_conifer_forest,5,Europe
"6",17673,,2.06976744186047,Alps conifer and mixed forests,"208",0.242356873031935,,Alps_conifer_forest,5,Europe
"7",17674,,1.90697674418605,Alps conifer and mixed forests,"6559",0.0377798639678962,,Alps_conifer_forest,5,Europe
"8",17675,,1.06976744186047,Alps conifer and mixed forests,"7496",0.470670515244297,,Alps_conifer_forest,4,Europe
"9",17675,,1.06976744186047,Alps conifer and mixed forests,"7496",0.470670515244297,,Alps_conifer_forest,5,Europe
"10",17676,,0.825581395348837,Alps conifer and mixed forests,"2236",0.54355636474628,,Alps_conifer_forest,5,Europe
"11",17756,,2.44318181818182,Alps conifer and mixed forests,"5935",0.0962557598246956,,Alps_conifer_forest,5,Europe
"12",17757,,1.27272727272727,Alps conifer and mixed forests,"6007",0.661772714532677,,Alps_conifer_forest,5,Europe
"13",17758,,1.30681818181818,Alps conifer and mixed forests,"3290",0.197090506502244,,Alps_conifer_forest,5,Europe
"14",17837,,1.97674418604651,Alps conifer and mixed forests,"4170",0.0742632581529135,,Alps_conifer_forest,4,Europe
"15",17837,,1.97674418604651,Alps conifer and mixed forests,"4170",0.0742632581529135,,Alps_conifer_forest,5,Europe
"16",17838,,1.62790697674419,Alps conifer and mixed forests,"6850",0.824100556299791,,Alps_conifer_forest,4,Europe
"17",17838,,1.62790697674419,Alps conifer and mixed forests,"6850",0.824100556299791,,Alps_conifer_forest,5,Europe
"18",17840,,0.430232558139535,Alps conifer and mixed forests,"189",0.608900768355197,,Alps_conifer_forest,5,Europe
"19",17919,,1.83720930232558,Alps conifer and mixed forests,"1662",0.00598555810818762,,Alps_conifer_forest,5,Europe
"20",17920,,2.19767441860465,Alps conifer and mixed forests,"7390",0.0964919680276006,,Alps_conifer_forest,5,Europe
"21",17921,,1.04651162790698,Alps conifer and mixed forests,"2605",0.827630985091149,,Alps_conifer_forest,5,Europe
"22",18000,,3.29545454545455,Alps conifer and mixed forests,"92",0.0030215964276635,,Alps_conifer_forest,4,Europe
"23",18000,,3.29545454545455,Alps conifer and mixed forests,"92",0.0030215964276635,,Alps_conifer_forest,5,Europe
"24",18001,,2.21590909090909,Alps conifer and mixed forests,"7260",0.00296496265762753,,Alps_conifer_forest,5,Europe
"25",18002,,1.71590909090909,Alps conifer and mixed forests,"7208",0.427679035289594,,Alps_conifer_forest,5,Europe
"26",18003,,1.09090909090909,Alps conifer and mixed forests,"92",1.45638408213204,,Alps_conifer_forest,4,Europe
"27",18003,,1.09090909090909,Alps conifer and mixed forests,"92",1.45638408213204,,Alps_conifer_forest,5,Europe
"28",18083,,4.61627906976744,Alps conifer and mixed forests,"4579",0.0358526068685896,,Alps_conifer_forest,5,Europe
"29",18084,,1.68604651162791,Alps conifer and mixed forests,"7390",0.0234744450532591,,Alps_conifer_forest,5,Europe
"30",18085,,1.3953488372093,Alps conifer and mixed forests,"3906",0.637557387695539,,Alps_conifer_forest,5,Europe
"31",18164,,3.27906976744186,Alps conifer and mixed forests,"1540",0.0301675809433399,,Alps_conifer_forest,4,Europe
"32",18164,,3.27906976744186,Alps conifer and mixed forests,"1540",0.0301675809433399,,Alps_conifer_forest,5,Europe
"33",18165,,2.17441860465116,Alps conifer and mixed forests,"7322",0.0118475250648235,,Alps_conifer_forest,5,Europe
"34",18166,,1.54651162790698,Alps conifer and mixed forests,"5376",0.404721796075064,,Alps_conifer_forest,5,Europe
"35",18247,,2.70454545454545,Alps conifer and mixed forests,"5902",0.0926138326530411,,Alps_conifer_forest,5,Europe
"36",18248,,2.23863636363636,Alps conifer and mixed forests,"5618",0.270594897710661,,Alps_conifer_forest,5,Europe
"37",18328,,1.9047619047619,Alps conifer and mixed forests,"2185",0.0303552247780661,,Alps_conifer_forest,5,Europe
"38",18329,,3.0952380952381,Alps conifer and mixed forests,"7322",0.0769967794210296,,Alps_conifer_forest,5,Europe
"39",18330,,1.70238095238095,Alps conifer and mixed forests,"392",0.603393728195245,,Alps_conifer_forest,5,Europe
"40",18411,,2.65909090909091,Alps conifer and mixed forests,"6521",0.0177339839101329,,Alps_conifer_forest,5,Europe
"41",18412,,1.95454545454545,Alps conifer and mixed forests,"5764",0.127125647830211,,Alps_conifer_forest,5,Europe
"42",18492,,1.97727272727273,Alps conifer and mixed forests,"3795",0.00603034045608277,,Alps_conifer_forest,5,Europe
"43",18493,,2.125,Alps conifer and mixed forests,"3610",0.0355292242822574,,Alps_conifer_forest,5,Europe
"44",18494,,1.21590909090909,Alps conifer and mixed forests,"1007",0,,Alps_conifer_forest,5,Europe
"45",18574,,0.630952380952381,Alps conifer and mixed forests,"216",1.41962075449263,,Alps_conifer_forest,5,Europe
"46",18575,,1.85714285714286,Alps conifer and mixed forests,"1159",0.354260138282308,,Alps_conifer_forest,5,Europe
"47",17922,,2.16279069767442,Appenine deciduous montane forests,"2039",0.267573563841678,,Appenine_deciduous_montane_forest,4,Europe
"48",18003,,1.09090909090909,Appenine deciduous montane forests,"0",1.45638408213204,,Appenine_deciduous_montane_forest,4,Europe
"49",18004,,1.53409090909091,Appenine deciduous montane forests,"1248",0.29327932584753,,Appenine_deciduous_montane_forest,4,Europe
"50",18086,,1.06976744186047,Appenine deciduous montane forests,"124",0.303495305806574,,Appenine_deciduous_montane_forest,4,Europe
"51",18086,,1.06976744186047,Appenine deciduous montane forests,"581",0.303495305806574,,Appenine_deciduous_montane_forest,4,Europe
"52",18168,,1.08139534883721,Appenine deciduous montane forests,"1022",0.164904012075893,,Appenine_deciduous_montane_forest,4,Europe
"53",18168,,1.08139534883721,Appenine deciduous montane forests,"4",0.164904012075893,,Appenine_deciduous_montane_forest,4,Europe
"54",18251,,0.818181818181818,Appenine deciduous montane forests,"477",0.088746589120692,,Appenine_deciduous_montane_forest,4,Europe
"55",18251,,0.818181818181818,Appenine deciduous montane forests,"306",0.088746589120692,,Appenine_deciduous_montane_forest,4,Europe
"56",18252,,1.53409090909091,Appenine deciduous montane forests,"1742",0.421574777604048,,Appenine_deciduous_montane_forest,4,Europe
"57",18252,,1.53409090909091,Appenine deciduous montane forests,"243",0.421574777604048,,Appenine_deciduous_montane_forest,4,Europe
