ecoregion,fire_pct_1,fire_pct_2,histosol_pct
Alaska Peninsula montane taiga,0.0272335604136054,30639,4.91956060195496
Alberta Mountain forests,2.50271967685883,39933,0.87447761967721
Alberta-British Columbia foothills forests,2.22587814746264,119381,9.11223791420932
Allegheny Highlands forests,0.0485993406006698,84010,1.07427575882086
Alps conifer and mixed forests,0,149867,2.00703100008515
Appenine deciduous montane forests,0,16148,1.49865165549609
Atlantic mixed forests,0,392041,3.23770935411451
Baltic mixed forests,0,112430,5.00903761306777
British Columbia mainland coastal forests,1.72684054138353,121537,5.2319017221948
Caledon conifer forests,0,21693,15.7398355282425
Canadian Aspen forests and parklands,3.66096553298977,399030,4.98227170532026
Cantabrian mixed forests,0,79378,1.89294445337872
Carpathian montane forests,0,120413,1.96708366013173
Cascade Mountains leeward forests,14.5634132444909,46451,1.16801571519471
Caucasus mixed forests,0,170406,1.41833026604116
Celtic broadleaf forests,0,205392,6.00744374321568
Central British Columbia Mountain forests,2.85699530427883,72089,1.77818914924308
Central Canadian Shield forests,3.83016241490162,462710,12.8004418881919
Central European mixed forests,0,718366,6.22392459277918
Central Korean deciduous forests,0,103360,1.86268348858891
Central Pacific coastal forests,2.05219039806667,71071,2.66356155606297
Changbai Mountains mixed forests,0,85598,4.97248394543213
Changjiang Plain evergreen forests,0,435656,1.00640249875564
Cook Inlet taiga,1.59545179691308,27305,9.95307741459429
Da Hinggan-Dzhagdy Mountains conifer forests,0,174274,5.25357686394352
Daba Mountains evergreen forests,0,168169,1.58750981264367
Dinaric Mountains mixed forests,0,56845,1.04814028110958
East European forest steppe,0,684854,2.25208155544839
East Siberian taiga,0,1006083,2.61661672162251
Eastern Canadian Shield taiga,2.61672240212637,638751,6.26384975564153
Eastern Canadian forests,3.37482543881044,480199,5.99866871062489
Eastern Great Lakes lowland forests,0.0545851088571914,115559,3.91851912488776
Eastern forest-boreal transition,0.911245763658257,348301,4.78006818829502
English Lowlands beech forests,0,44429,1.99428149656741
Euxine-Colchic broadleaf forests,0,64764,1.07162382825502
Fraser Plateau and Basin complex,14.3698099067543,137635,3.82872162477227
Gulf of St. Lawrence lowland forests,0.241400661455182,38370,4.35287732636656
Hengduan Mountains subalpine conifer forests,0,99289,1.30750467483427
Hokkaido deciduous forests,0,20189,3.90478050603614
Hokkaido montane conifer forests,0,41865,4.14313817392005
Huang He Plain mixed forests,0,433474,0.632902531073967
Interior Alaska-Yukon lowland taiga,1.89866937453514,26095,1.74783738632667
Kamchatka-Kurile meadows and sparse forests,0,140487,6.69938439129861
Kamchatka-Kurile taiga,0,15295,7.30536750115937
Manchurian mixed forests,0,504832,4.49984741119328
Mid-Continental Canadian forests,11.7474719635325,349356,21.4621983935491
Middle Atlantic coastal forests,2.50727466178164,127350,3.30400387721408
Midwestern Canadian Shield forests,17.3610725824927,548396,12.5045306828477
Muskwa-Slave Lake forests,9.90431857270682,208951,11.7400844608343
New England-Acadian forests,0.050742118419205,231671,3.859023830707
Nihonkai evergreen forests,0,20096,2.86799398826436
Nihonkai montane deciduous forests,0,70214,4.01655966242374
North Atlantic moist mixed forests,0,36033,12.4779200593607
North Central Rockies forests,5.68234989401247,246516,0.703472546493609
Northeast China Plain deciduous forests,0,224322,0.882914807199248
Northeast Siberian taiga,0,9062,1.8058487910159
Northeastern coastal forests,0.153561988444681,84099,3.12466153985337
Northern Canadian Shield taiga,18.2386421244369,55416,4.55295327383378
Northern Cordillera forests,3.33964710226673,218922,0.739787724118795
Northern Pacific coastal forests,0.127984171609002,54709,12.6521804902641
Northern transitional alpine forests,1.10188648190272,22893,2.10387742119349
Nujiang Langcang Gorge alpine conifer and mixed forests,0,80938,1.72720677553048
Okanagan dry forests,10.2662974338341,53497,0.750671788635502
Okhotsk-Manchurian taiga,0,257001,7.0990530136962
Pannonian mixed forests,0,307718,1.08798646239308
Po Basin mixed forests,0,42148,1.32748659786585
Puget lowland forests,0.372649044434616,18028,3.66008714734405
Pyrenees conifer and mixed forests,0,25930,2.32137145135423
Qin Ling Mountains deciduous forests,0,123280,1.38097891887163
Qionglai-Minshan conifer forests,0,78626,2.95076843774383
Queen Charlotte Islands,0.0827081742545777,9108,7.23640404876043
Sakhalin Island taiga,0,65460,6.88578020226351
Sarmatic mixed forests,0,820120,8.41410366604042
Sayan montane conifer forests,0,176437,1.28287702586215
Scandinavian and Russian taiga,0,2156752,11.0181563809297
Sichuan Basin evergreen broadleaf forests,0,98006,0.958968489667458
Southeastern conifer forests,8.72307176419502,233504,3.34222929976472
Southern Great Lakes forests,0.144202374216241,244784,3.04574426673205
Southern Hudson Bay taiga,4.02820838710502,192358,42.9872560002755
Suiphun-Khanka meadows and forest meadows,0,33819,3.03843527291506
Taiheiyo evergreen forests,0,132588,2.30967051178137
Taiheiyo montane deciduous forests,0,34165,3.72793596800009
Trans-Baikal conifer forests,0,78980,1.1183015890564
Upper Midwest forest-savanna transition,0.673638021931676,165492,5.29019816444312
Ural montane forests and tundra,0,164009,3.50047720863258
Ussuri broadleaf and mixed forests,0,197334,7.01168421517604
West Siberian taiga,0,1370951,18.3180270335988
Western European broadleaf forests,0,493838,1.70490099832784
Western Great Lakes forests,1.06131161767787,271827,12.5698156659707
Western Siberian hemiboreal forests,0,224489,9.71549868149225
Yukon Interior dry forests,2.24930807606605,39545,0.620326857539394
