stat,pool,time,0
mean,delta_B,1992,0.0
mean,delta_B,1993,869939939903367.1
mean,delta_B,1994,1296147884278645.2
mean,delta_B,1995,1414319810505198.2
mean,delta_B,1996,2118502085712636.5
mean,delta_B,1997,3414833673377913.0
mean,delta_B,1998,3718653484599015.0
mean,delta_B,1999,4293036337568455.0
mean,delta_B,2000,5459066544073536.0
mean,delta_B,2001,6234975812028252.0
mean,delta_B,2002,6191053830135605.0
mean,delta_B,2003,6473084276490034.0
mean,delta_B,2004,7016218800869212.0
mean,delta_B,2005,7499531274274624.0
mean,delta_B,2006,8951646572401742.0
mean,delta_B,2007,1.0004914622517974e+16
mean,delta_B,2008,1.1168137291319826e+16
mean,delta_B,2009,1.1999564517368914e+16
mean,delta_B,2010,1.3445404554464968e+16
mean,delta_B,2011,1.4985988696519744e+16
mean,delta_B,2012,1.533043737661206e+16
mean,delta_B,2013,1.616203297944891e+16
mean,delta_B,2014,1.795538241950676e+16
mean,delta_B,2015,1.8568240120007224e+16
mean,delta_B,2016,1.9719965078656496e+16
mean,delta_B,2017,2.1275763788892292e+16
mean,delta_B,2018,2.235474333620502e+16
mean,delta_B,2019,2.275212136738764e+16
mean,delta_C,1992,0.0
mean,delta_C,1993,1596998021383398.2
mean,delta_C,1994,2051209523710770.0
mean,delta_C,1995,2140557512064377.8
mean,delta_C,1996,3792062241562651.0
mean,delta_C,1997,5408869303801150.0
mean,delta_C,1998,5612643765485475.0
mean,delta_C,1999,7252824975792936.0
mean,delta_C,2000,9307993664913580.0
mean,delta_C,2001,1.0391100190674374e+16
mean,delta_C,2002,1.0327062346423896e+16
mean,delta_C,2003,1.0947979205251056e+16
mean,delta_C,2004,1.237395431995987e+16
mean,delta_C,2005,1.289293851248181e+16
mean,delta_C,2006,1.4695492012562546e+16
mean,delta_C,2007,1.5986828156624462e+16
mean,delta_C,2008,1.7912335266899426e+16
mean,delta_C,2009,1.9201641474230028e+16
mean,delta_C,2010,2.0963842003244024e+16
mean,delta_C,2011,2.344431912362129e+16
mean,delta_C,2012,2.4264615770475132e+16
mean,delta_C,2013,2.594983711120617e+16
mean,delta_C,2014,2.8170405236290976e+16
mean,delta_C,2015,2.8867344058372664e+16
mean,delta_C,2016,3.0320379488364108e+16
mean,delta_C,2017,3.2545797423010356e+16
mean,delta_C,2018,3.4438113743567844e+16
mean,delta_C,2019,3.5475452679964496e+16
std,delta_B,1992,0.0
std,delta_B,1993,601256123929021.2
std,delta_B,1994,909468207997843.6
std,delta_B,1995,1225505669991904.5
std,delta_B,1996,1640829345038608.2
std,delta_B,1997,2471047861787307.5
std,delta_B,1998,3007346818708323.5
std,delta_B,1999,3581558441578243.5
std,delta_B,2000,4429115959439043.5
std,delta_B,2001,4811488484000742.0
std,delta_B,2002,4856669958557150.0
std,delta_B,2003,4987357261168540.0
std,delta_B,2004,5432137150590061.0
std,delta_B,2005,5967996743626766.0
std,delta_B,2006,6430865913386861.0
std,delta_B,2007,6778649714811164.0
std,delta_B,2008,7189442864244629.0
std,delta_B,2009,7655006505456370.0
std,delta_B,2010,8373425222453573.0
std,delta_B,2011,8919074445989933.0
std,delta_B,2012,9080798051146910.0
std,delta_B,2013,9789724440282138.0
std,delta_B,2014,1.063689612939396e+16
std,delta_B,2015,1.089744789269761e+16
std,delta_B,2016,1.1508007916732218e+16
std,delta_B,2017,1.2119961966919866e+16
std,delta_B,2018,1.2487979698039438e+16
std,delta_B,2019,1.2886860496795264e+16
std,delta_C,1992,0.0
std,delta_C,1993,668649129440777.5
std,delta_C,1994,890546829036505.8
std,delta_C,1995,1317429675699526.5
std,delta_C,1996,1716204186154463.5
std,delta_C,1997,2267122410599950.5
std,delta_C,1998,3040894252221207.5
std,delta_C,1999,3595715275127168.5
std,delta_C,2000,4550155863585861.0
std,delta_C,2001,5079924247656433.0
std,delta_C,2002,5124097061688868.0
std,delta_C,2003,5385876984338580.0
std,delta_C,2004,6053358635735950.0
std,delta_C,2005,6157839357991752.0
std,delta_C,2006,6513581799679170.0
std,delta_C,2007,6735417403106330.0
std,delta_C,2008,7143083024032537.0
std,delta_C,2009,7438271217804025.0
std,delta_C,2010,8185464134558768.0
std,delta_C,2011,8684051978148599.0
std,delta_C,2012,8851884163731133.0
std,delta_C,2013,9453906694178450.0
std,delta_C,2014,1.0060308928984888e+16
std,delta_C,2015,1.0375197507212692e+16
std,delta_C,2016,1.1087378597260872e+16
std,delta_C,2017,1.1778614519894544e+16
std,delta_C,2018,1.2210896801736942e+16
std,delta_C,2019,1.2685904069444592e+16
