stat,pool,time,0
mean,delta_B,1995,0.0
mean,delta_B,1996,704182275207438.2
mean,delta_B,1997,2000513862872714.8
mean,delta_B,1998,2304333674093817.0
mean,delta_B,1999,2878716527063257.0
mean,delta_B,2000,4044746733568338.0
mean,delta_B,2001,4820656001523054.0
mean,delta_B,2002,4776734019630407.0
mean,delta_B,2003,5058764465984836.0
mean,delta_B,2004,5601898990364014.0
mean,delta_B,2005,6085211463769426.0
mean,delta_B,2006,7537326761896544.0
mean,delta_B,2007,8590594812012775.0
mean,delta_B,2008,9753817480814628.0
mean,delta_B,2009,1.0585244706863716e+16
mean,delta_B,2010,1.2031084743959768e+16
mean,delta_B,2011,1.3571668886014546e+16
mean,delta_B,2012,1.3916117566106862e+16
mean,delta_B,2013,1.4747713168943712e+16
mean,delta_B,2014,1.654106260900156e+16
mean,delta_B,2015,1.7153920309502026e+16
mean,delta_B,2016,1.83056452681513e+16
mean,delta_B,2017,1.9861443978387092e+16
mean,delta_B,2018,2.0940423525699824e+16
mean,delta_B,2019,2.1337801556882444e+16
mean,delta_C,1995,0.0
mean,delta_C,1996,1651504729498274.0
mean,delta_C,1997,3268311791736772.5
mean,delta_C,1998,3472086253421098.5
mean,delta_C,1999,5112267463728560.0
mean,delta_C,2000,7167436152849203.0
mean,delta_C,2001,8250542678609997.0
mean,delta_C,2002,8186504834359520.0
mean,delta_C,2003,8807421693186680.0
mean,delta_C,2004,1.0233396807895494e+16
mean,delta_C,2005,1.0752381000417434e+16
mean,delta_C,2006,1.2554934500498168e+16
mean,delta_C,2007,1.3846270644560084e+16
mean,delta_C,2008,1.5771777754835048e+16
mean,delta_C,2009,1.7061083962165648e+16
mean,delta_C,2010,1.882328449117965e+16
mean,delta_C,2011,2.1303761611556916e+16
mean,delta_C,2012,2.212405825841075e+16
mean,delta_C,2013,2.380927959914179e+16
mean,delta_C,2014,2.6029847724226596e+16
mean,delta_C,2015,2.6726786546308292e+16
mean,delta_C,2016,2.8179821976299724e+16
mean,delta_C,2017,3.040523991094598e+16
mean,delta_C,2018,3.2297556231503468e+16
mean,delta_C,2019,3.333489516790013e+16
std,delta_B,1995,0.0
std,delta_B,1996,768838644698950.8
std,delta_B,1997,1694435951687611.2
std,delta_B,1998,2244522111679649.5
std,delta_B,1999,2862887724682044.0
std,delta_B,2000,3768779655476157.0
std,delta_B,2001,4130888502398769.0
std,delta_B,2002,4187513440546957.5
std,delta_B,2003,4265338708583231.0
std,delta_B,2004,4740241441438272.0
std,delta_B,2005,5230992829793559.0
std,delta_B,2006,5650637264813058.0
std,delta_B,2007,6020455391230750.0
std,delta_B,2008,6454793603571845.0
std,delta_B,2009,6944301637871057.0
std,delta_B,2010,7665385671490814.0
std,delta_B,2011,8220617986946684.0
std,delta_B,2012,8402910586968882.0
std,delta_B,2013,9099323637496456.0
std,delta_B,2014,9943160005327776.0
std,delta_B,2015,1.0203877655469134e+16
std,delta_B,2016,1.0790372205068028e+16
std,delta_B,2017,1.1416123532454122e+16
std,delta_B,2018,1.179987759298644e+16
std,delta_B,2019,1.2224941746270786e+16
std,delta_C,1995,0.0
std,delta_C,1996,838618221748232.2
std,delta_C,1997,1641413360054587.2
std,delta_C,1998,2455645002554014.0
std,delta_C,1999,3073531309824960.0
std,delta_C,2000,4103718865602549.5
std,delta_C,2001,4564273377314433.0
std,delta_C,2002,4501714008567041.0
std,delta_C,2003,4726092182152901.0
std,delta_C,2004,5461643360294573.0
std,delta_C,2005,5489297686895127.0
std,delta_C,2006,5829182481504049.0
std,delta_C,2007,6029661297444028.0
std,delta_C,2008,6443667988713176.0
std,delta_C,2009,6732769847064248.0
std,delta_C,2010,7519481307882963.0
std,delta_C,2011,8025650114237714.0
std,delta_C,2012,8190217863482712.0
std,delta_C,2013,8802175966792033.0
std,delta_C,2014,9413752739082436.0
std,delta_C,2015,9695546860516670.0
std,delta_C,2016,1.0361971732603526e+16
std,delta_C,2017,1.1063749314191286e+16
std,delta_C,2018,1.1507084439391286e+16
std,delta_C,2019,1.1971489867054398e+16
