stat,pool,time,period,0
mean,delta_B,Africa,1993-2000,12544657815201.555
mean,delta_B,Africa,2001-2010,65731744671789.03
mean,delta_B,Africa,2011-2019,116828435955912.8
mean,delta_B,Africa,1993-2019,67004838253434.0
mean,delta_B,Australia,1993-2000,97258540467159.3
mean,delta_B,Australia,2001-2010,-10145846708041.398
mean,delta_B,Australia,2011-2019,-36989300732060.4
mean,delta_B,Australia,1993-2019,12729857409937.658
mean,delta_B,East Asia,1993-2000,-38551684954224.89
mean,delta_B,East Asia,2001-2010,45251357470007.66
mean,delta_B,East Asia,2011-2019,62015911067803.56
mean,delta_B,East Asia,1993-2019,26009010913944.797
mean,delta_B,Europe,1993-2000,59746662252091.98
mean,delta_B,Europe,2001-2010,90646224480959.17
mean,delta_B,Europe,2011-2019,78195845641402.39
mean,delta_B,Europe,1993-2019,77340672355516.62
mean,delta_B,North America,1993-2000,148823022951972.1
mean,delta_B,North America,2001-2010,208706883945966.12
mean,delta_B,North America,2011-2019,265184544193504.16
mean,delta_B,North America,1993-2019,209789404474702.78
mean,delta_B,Other,1993-2000,-816067259758.7422
mean,delta_B,Other,2001-2010,18314346447578.074
mean,delta_B,Other,2011-2019,22627131500456.832
mean,delta_B,Other,1993-2019,14083670737104.53
mean,delta_B,Russia,1993-2000,175782089841085.38
mean,delta_B,Russia,2001-2010,231470745746469.22
mean,delta_B,Russia,2011-2019,218583499738163.8
mean,delta_B,Russia,1993-2019,210674654586549.97
mean,delta_B,South America,1993-2000,177861641982545.78
mean,delta_B,South America,2001-2010,170855212566090.22
mean,delta_B,South America,2011-2019,228008489638389.34
mean,delta_B,South America,1993-2019,191982284009880.47
mean,delta_B,South Asia,1993-2000,12850918114592.555
mean,delta_B,South Asia,2001-2010,16606199831108.99
mean,delta_B,South Asia,2011-2019,10282542902927.877
mean,delta_B,South Asia,1993-2019,13385638124228.936
mean,delta_B,Southeast Asia,1993-2000,9898176880353.055
mean,delta_B,Southeast Asia,2001-2010,-69883314519044.914
mean,delta_B,Southeast Asia,2011-2019,21899642971820.395
mean,delta_B,Southeast Asia,1993-2019,-15650034940786.709
mean,delta_B,Global,1993-2000,682383318009192.0
mean,delta_B,Global,2001-2010,798633801039143.1
mean,delta_B,Global,2011-2019,1034079645880297.1
mean,delta_B,Global,1993-2019,842671161755097.8
mean,delta_OC,Africa,1993-2000,54160811131202.484
mean,delta_OC,Africa,2001-2010,40528151158560.34
mean,delta_OC,Africa,2011-2019,113058750840579.7
mean,delta_OC,Africa,1993-2019,68744324377794.08
mean,delta_OC,Australia,1993-2000,89722310135918.61
mean,delta_OC,Australia,2001-2010,7038936282330.127
mean,delta_OC,Australia,2011-2019,31016003680028.477
mean,delta_OC,Australia,1993-2019,39530069519663.2
mean,delta_OC,East Asia,1993-2000,38996089460078.68
mean,delta_OC,East Asia,2001-2010,23272716160385.367
mean,delta_OC,East Asia,2011-2019,65238069250934.125
mean,delta_OC,East Asia,1993-2019,41919944464551.49
mean,delta_OC,Europe,1993-2000,24699818223726.227
mean,delta_OC,Europe,2001-2010,30558419427639.86
mean,delta_OC,Europe,2011-2019,29913739287132.17
mean,delta_OC,Europe,1993-2019,28607644209274.0
mean,delta_OC,North America,1993-2000,63254716736806.0
mean,delta_OC,North America,2001-2010,88046030504123.25
mean,delta_OC,North America,2011-2019,105293954835960.78
mean,delta_OC,North America,1993-2019,86449764165160.34
mean,delta_OC,Other,1993-2000,22190428839674.316
mean,delta_OC,Other,2001-2010,28441990710202.684
mean,delta_OC,Other,2011-2019,44774968756082.016
mean,delta_OC,Other,1993-2019,32034002097191.094
mean,delta_OC,Russia,1993-2000,68700123346172.94
mean,delta_OC,Russia,2001-2010,73172760601383.9
mean,delta_OC,Russia,2011-2019,112698863137784.19
mean,delta_OC,Russia,1993-2019,85022902260121.53
mean,delta_OC,South America,1993-2000,81551057362472.81
mean,delta_OC,South America,2001-2010,38705381891122.28
mean,delta_OC,South America,2011-2019,45878533298182.97
mean,delta_OC,South America,1993-2019,53791447314616.75
mean,delta_OC,South Asia,1993-2000,14633691790624.355
mean,delta_OC,South Asia,2001-2010,3883405449993.8027
mean,delta_OC,South Asia,2011-2019,27681382677412.695
mean,delta_OC,South Asia,1993-2019,15001334552653.596
mean,delta_OC,Southeast Asia,1993-2000,18682601052302.434
mean,delta_OC,Southeast Asia,2001-2010,29684166306966.875
mean,delta_OC,Southeast Asia,2011-2019,-3833179261219.004
mean,delta_OC,Southeast Asia,1993-2019,15251994745819.154
mean,delta_OC,Global,1993-2000,481115890105005.5
mean,delta_OC,Global,2001-2010,366951032793901.4
mean,delta_OC,Global,2011-2019,578321540421978.1
mean,delta_OC,Global,1993-2019,471234493058402.0
mean,delta_C,Africa,1993-2000,66705468946404.04
