stat,pool,time,period,0
mean,delta_B,Africa,1996-2000,83057253728857.52
mean,delta_B,Africa,2001-2010,65731744671789.03
mean,delta_B,Africa,2011-2019,116828435955912.8
mean,delta_B,Africa,1996-2019,88502484956891.38
mean,delta_B,Australia,1996-2000,147698373449995.97
mean,delta_B,Australia,2001-2010,-10145846708041.398
mean,delta_B,Australia,2011-2019,-36989300732060.4
mean,delta_B,Australia,1996-2019,12672070565875.93
mean,delta_B,East Asia,1996-2000,-52762288342063.09
mean,delta_B,East Asia,2001-2010,45251357470007.66
mean,delta_B,East Asia,2011-2019,62015911067803.56
mean,delta_B,East Asia,1996-2019,31118555524999.72
mean,delta_B,Europe,1996-2000,80502518223525.58
mean,delta_B,Europe,2001-2010,90646224480959.17
mean,delta_B,Europe,2011-2019,78195845641402.39
mean,delta_B,Europe,1996-2019,83864060279160.05
mean,delta_B,North America,1996-2000,149509786120369.78
mean,delta_B,North America,2001-2010,208706883945966.12
mean,delta_B,North America,2011-2019,265184544193504.16
mean,delta_B,North America,1996-2019,217553277825126.97
mean,delta_B,Other,1996-2000,729928423103.5682
mean,delta_B,Other,2001-2010,18314346447578.074
mean,delta_B,Other,2011-2019,22627131500456.832
mean,delta_B,Other,1996-2019,16268220420642.086
mean,delta_B,Russia,1996-2000,152135820146963.3
mean,delta_B,Russia,2001-2010,231470745746469.22
mean,delta_B,Russia,2011-2019,218583499738163.8
mean,delta_B,Russia,1996-2019,210109918993457.62
mean,delta_B,South America,1996-2000,198530119891310.38
mean,delta_B,South America,2001-2010,170855212566090.22
mean,delta_B,South America,2011-2019,228008489638389.34
mean,delta_B,South America,1996-2019,198053297160956.6
mean,delta_B,South Asia,1996-2000,5463715962160.521
mean,delta_B,South Asia,2001-2010,16606199831108.99
mean,delta_B,South Asia,2011-2019,10282542902927.877
mean,delta_B,South Asia,1996-2019,11913477677010.143
mean,delta_B,Southeast Asia,1996-2000,7926090049965.377
mean,delta_B,Southeast Asia,2001-2010,-69883314519044.914
mean,delta_B,Southeast Asia,2011-2019,21899642971820.395
mean,delta_B,Southeast Asia,1996-2019,-19254412841426.61
mean,delta_B,Global,1996-2000,808949346713667.5
mean,delta_B,Global,2001-2010,798633801039143.1
mean,delta_B,Global,2011-2019,1034079645880297.1
mean,delta_B,Global,1996-2019,889075064870101.9
mean,delta_OC,Africa,1996-2000,78983567179567.86
mean,delta_OC,Africa,2001-2010,40528151158560.34
mean,delta_OC,Africa,2011-2019,113058750840579.7
mean,delta_OC,Africa,1996-2019,75738671043694.19
mean,delta_OC,Australia,1996-2000,130576158252523.66
mean,delta_OC,Australia,2001-2010,7038936282330.127
mean,delta_OC,Australia,2011-2019,31016003680028.477
mean,delta_OC,Australia,1996-2019,41767257800257.33
mean,delta_OC,East Asia,1996-2000,43102944964594.88
mean,delta_OC,East Asia,2001-2010,23272716160385.367
mean,delta_OC,East Asia,2011-2019,65238069250934.125
mean,delta_OC,East Asia,1996-2019,43141021236884.8
mean,delta_OC,Europe,1996-2000,31954544795186.062
mean,delta_OC,Europe,2001-2010,30558419427639.86
mean,delta_OC,Europe,2011-2019,29913739287132.17
mean,delta_OC,Europe,1996-2019,30607523826521.594
mean,delta_OC,North America,1996-2000,64922511947004.84
mean,delta_OC,North America,2001-2010,88046030504123.25
mean,delta_OC,North America,2011-2019,105293954835960.78
mean,delta_OC,North America,1996-2019,89696602429162.66
mean,delta_OC,Other,1996-2000,11403907729709.57
mean,delta_OC,Other,2001-2010,28441990710202.684
mean,delta_OC,Other,2011-2019,44774968756082.016
mean,delta_OC,Other,1996-2019,31017256856471.367
mean,delta_OC,Russia,1996-2000,80596840403008.34
mean,delta_OC,Russia,2001-2010,73172760601383.9
mean,delta_OC,Russia,2011-2019,112698863137784.19
mean,delta_OC,Russia,1996-2019,89541732344539.12
mean,delta_OC,South America,1996-2000,139506866387612.75
mean,delta_OC,South America,2001-2010,38705381891122.28
mean,delta_OC,South America,2011-2019,45878533298182.97
mean,delta_OC,South America,1996-2019,62395622938872.19
mean,delta_OC,South Asia,1996-2000,14051925468900.182
mean,delta_OC,South Asia,2001-2010,3883405449993.8027
mean,delta_OC,South Asia,2011-2019,27681382677412.695
mean,delta_OC,South Asia,1996-2019,14926088580881.385
mean,delta_OC,Southeast Asia,1996-2000,25723559033698.125
mean,delta_OC,Southeast Asia,2001-2010,29684166306966.875
mean,delta_OC,Southeast Asia,2011-2019,-3833179261219.004
mean,delta_OC,Southeast Asia,1996-2019,16290035203632.842
mean,delta_OC,Global,1996-2000,624537883856173.2
mean,delta_OC,Global,2001-2010,366951032793901.4
mean,delta_OC,Global,2011-2019,578321540421978.1
mean,delta_OC,Global,1996-2019,499878900459069.9
mean,delta_C,Africa,1996-2000,162040820908425.38
mean,delta_C,Africa,2001-2010,106259895830349.38
mean,delta_C,Africa,2011-2019,229887186796492.5
mean,delta_C,Africa,1996-2019,164241156000585.56
mean,delta_C,Australia,1996-2000,278274531702519.62
mean,delta_C,Australia,2001-2010,-3106910425711.2715
mean,delta_C,Australia,2011-2019,-5973297052031.921
mean,delta_C,Australia,1996-2019,54439328366133.26
mean,delta_C,East Asia,1996-2000,-9659343377468.213
mean,delta_C,East Asia,2001-2010,68524073630393.02
mean,delta_C,East Asia,2011-2019,127253980318737.69
mean,delta_C,East Asia,1996-2019,74259576761884.52
mean,delta_C,Europe,1996-2000,112457063018711.64
mean,delta_C,Europe,2001-2010,121204643908599.03
