,mean,std
1993,62481474402361.13,251666863265433.25
1994,96874560075563.61,241884811374712.16
1995,192240779275746.47,230367370140345.3
1996,304256570238798.7,209642556764393.5
1997,310201091120051.5,202752115426789.9
1998,311534460630169.56,205521322391327.16
1999,360396132864178.3,219962937829035.66
2000,369099979438823.1,229207827764708.28
2001,326932111601215.9,228227637096126.9
2002,309858329107700.56,236121946475746.03
2003,325253586694488.9,239233998979682.3
2004,390143715491257.4,260633127422155.12
2005,310656469090743.75,280923863267247.03
2006,357091804876161.44,277035201499295.47
2007,349527583334283.7,287119277323793.4
2008,334759609689331.94,341548021755060.5
2009,314971560842418.56,378981732740429.06
2010,282139131754394.5,360912098963979.6
