,mean,std
1993,1278079937518145.2,524217730897619.2
1994,1279178834749709.8,527364221423451.5
1995,1305992630037866.0,530563755473550.5
1996,1359670444160723.2,533710795349409.7
1997,1321588548012139.5,537083338677694.5
1998,1375000738607320.8,540824814543432.0
1999,1524275318049564.5,544680226959193.06
2000,1509207625122720.5,548570252315059.6
2001,1471023713275427.0,552802492096966.7
2002,1490191927085129.8,557176437713990.9
2003,1592460724954578.0,561139015443776.06
2004,1680008031681815.8,564919825578178.2
2005,1655992041653250.2,568474740061763.8
2006,1750555269856473.2,571709417887346.4
2007,1733164766907066.5,574652108434479.8
2008,1749584022186614.0,577584959864302.5
2009,1690496240708991.2,581739456987572.4
2010,1610663304539373.0,584551996916081.5
