stat,pool,time,0
mean,delta_B,1992,0.0
mean,delta_B,1993,-831738753100903.5
mean,delta_B,1994,-3119019673029911.0
mean,delta_B,1995,-5615157876867418.0
mean,delta_B,1996,-5447625286897434.0
mean,delta_B,1997,-5166758324999980.0
mean,delta_B,1998,-5881318981283994.0
mean,delta_B,1999,-5694999779912711.0
mean,delta_B,2000,-4524710311559352.0
mean,delta_B,2001,-3890450115074860.0
mean,delta_B,2002,-3842311164942560.5
mean,delta_B,2003,-4555299638996367.0
mean,delta_B,2004,-2972847227497405.0
mean,delta_B,2005,-3312285459402509.0
mean,delta_B,2006,-2856858774481938.0
mean,delta_B,2007,-2330115507408232.5
mean,delta_B,2008,-1777687360402854.5
mean,delta_B,2009,-1134391508680194.8
mean,delta_B,2010,-2746411724151716.0
mean,delta_B,2011,-2624092613315421.5
mean,delta_B,2012,-2217796990554502.5
mean,delta_B,2013,-2202364152073726.0
mean,delta_B,2014,-1480514142753088.5
mean,delta_B,2015,-272672454678908.25
mean,delta_B,2016,1687837083448984.2
mean,delta_B,2017,1876349184673202.0
mean,delta_B,2018,2107792578552031.5
mean,delta_B,2019,1686999808863750.2
mean,delta_C,1992,0.0
mean,delta_C,1993,1249508609497469.5
mean,delta_C,1994,1858342562043275.0
mean,delta_C,1995,1876067653132563.8
mean,delta_C,1996,4111621708710719.0
mean,delta_C,1997,4258142063628862.5
mean,delta_C,1998,2498376633949063.0
mean,delta_C,1999,4324005810535505.0
mean,delta_C,2000,6558707760756810.0
mean,delta_C,2001,7684703625457582.0
mean,delta_C,2002,7436325988762095.0
mean,delta_C,2003,7628029806080866.0
mean,delta_C,2004,9668277688191164.0
mean,delta_C,2005,1.0000384534999292e+16
mean,delta_C,2006,1.1977016343198054e+16
mean,delta_C,2007,1.351315004675055e+16
mean,delta_C,2008,1.5912699665191012e+16
mean,delta_C,2009,1.8401525267596188e+16
mean,delta_C,2010,1.963303831750441e+16
mean,delta_C,2011,2.269375256581864e+16
mean,delta_C,2012,2.4272759768127092e+16
mean,delta_C,2013,2.580809231341679e+16
mean,delta_C,2014,2.8133884307917236e+16
mean,delta_C,2015,2.84609781848173e+16
mean,delta_C,2016,2.8899531789914068e+16
mean,delta_C,2017,3.1113874915028212e+16
mean,delta_C,2018,3.291647450869646e+16
mean,delta_C,2019,3.450815831298992e+16
std,delta_B,1993,202868408496622.28
std,delta_B,1994,1446960601502338.8
std,delta_B,1995,3791661985380171.5
std,delta_B,1996,4830321047998946.0
std,delta_B,1997,4948382172220652.0
std,delta_B,1998,4813245081427453.0
std,delta_B,1999,4768490962765578.0
std,delta_B,2000,4652983586303002.0
std,delta_B,2001,4788011492152526.0
std,delta_B,2002,5067155370484467.0
std,delta_B,2003,5248123082515931.0
std,delta_B,2004,5667096099602313.0
std,delta_B,2005,5547832423435926.0
std,delta_B,2006,5516901648541783.0
std,delta_B,2007,5991081194177455.0
std,delta_B,2008,6456514735219283.0
std,delta_B,2009,6027210497168405.0
std,delta_B,2010,5494962723648670.0
std,delta_B,2011,5677196415830539.0
std,delta_B,2012,5646397834509985.0
std,delta_B,2013,5684373363698047.0
std,delta_B,2014,5697488439998684.0
std,delta_B,2015,5659036555559997.0
std,delta_B,2016,5776062233050671.0
std,delta_B,2017,5855231683333498.0
std,delta_B,2018,5965907726561886.0
std,delta_B,2019,6223005949600270.0
std,delta_C,1992,0.0
std,delta_C,1993,495938559622194.94
std,delta_C,1994,921000899930175.4
std,delta_C,1995,1365406966709644.0
std,delta_C,1996,1820225480703326.8
std,delta_C,1997,2278793306286429.0
std,delta_C,1998,2738258417282380.0
std,delta_C,1999,3202796960418190.0
std,delta_C,2000,3673783338405910.5
std,delta_C,2001,4146948609976975.0
std,delta_C,2002,4625729639261839.0
std,delta_C,2003,5117636687913234.0
std,delta_C,2004,5619086819095070.0
std,delta_C,2005,6130243051693809.0
std,delta_C,2006,6651654397975870.0
std,delta_C,2007,7182338775372490.0
std,delta_C,2008,7719019941244057.0
std,delta_C,2009,8251195716136459.0
std,delta_C,2010,8801575140341812.0
std,delta_C,2011,9363812947740706.0
std,delta_C,2012,9931796129389792.0
std,delta_C,2013,1.0503517800536492e+16
std,delta_C,2014,1.1078302232455126e+16
std,delta_C,2015,1.1653683304862276e+16
std,delta_C,2016,1.2229585736599356e+16
std,delta_C,2017,1.2811753410403638e+16
std,delta_C,2018,1.3402032729550336e+16
std,delta_C,2019,1.3995639992149848e+16
