stat,pool,time,0
mean,delta_B,1995,0.0
mean,delta_B,1996,79782420144512.69
mean,delta_B,1997,281763577261021.94
mean,delta_B,1998,-519810988373181.8
mean,delta_B,1999,-420628559754470.94
mean,delta_B,2000,657496186485017.8
mean,delta_B,2001,1293486712260582.5
mean,delta_B,2002,1362460965949273.0
mean,delta_B,2003,659701806790095.6
mean,delta_B,2004,2261731194330167.0
mean,delta_B,2005,1933266243061696.5
mean,delta_B,2006,2383621425956523.0
mean,delta_B,2007,2908529833329842.0
mean,delta_B,2008,3441544676431938.0
mean,delta_B,2009,4084779137268646.0
mean,delta_B,2010,2772004810679670.5
mean,delta_B,2011,2846279881033401.0
mean,delta_B,2012,3157147164639566.5
mean,delta_B,2013,3165221466088886.0
mean,delta_B,2014,3747929163268005.0
mean,delta_B,2015,4793597592689467.0
mean,delta_B,2016,6487234998865520.0
mean,delta_B,2017,6605459766900271.0
mean,delta_B,2018,6753620566113979.0
mean,delta_B,2019,6413642595573888.0
mean,delta_C,1995,0.0
mean,delta_C,1996,2235554055578155.5
mean,delta_C,1997,2382074410496299.0
mean,delta_C,1998,622308980816499.2
mean,delta_C,1999,2447938157402941.5
mean,delta_C,2000,4682640107624246.0
mean,delta_C,2001,5808635972325018.0
mean,delta_C,2002,5560258335629531.0
mean,delta_C,2003,5751962152948302.0
mean,delta_C,2004,7792210035058601.0
mean,delta_C,2005,8124316881866729.0
mean,delta_C,2006,1.0100948690065492e+16
mean,delta_C,2007,1.1637082393617988e+16
mean,delta_C,2008,1.4036632012058448e+16
mean,delta_C,2009,1.6525457614463624e+16
mean,delta_C,2010,1.7756970664371844e+16
mean,delta_C,2011,2.0817684912686076e+16
mean,delta_C,2012,2.239669211499453e+16
mean,delta_C,2013,2.393202466028423e+16
mean,delta_C,2014,2.6257816654784676e+16
mean,delta_C,2015,2.658491053168474e+16
mean,delta_C,2016,2.7023464136781508e+16
mean,delta_C,2017,2.9237807261895652e+16
mean,delta_C,2018,3.10404068555639e+16
mean,delta_C,2019,3.263209065985736e+16
std,delta_B,1996,1552000688800595.8
std,delta_B,1997,1901145687120114.5
std,delta_B,1998,1630550106217401.8
std,delta_B,1999,2072453748148539.8
std,delta_B,2000,2704473647240708.5
std,delta_B,2001,2932661705428092.0
std,delta_B,2002,3376830364795907.5
std,delta_B,2003,3636734584638360.0
std,delta_B,2004,4219491176491660.5
std,delta_B,2005,4076243642542358.0
std,delta_B,2006,4033430995348794.0
std,delta_B,2007,4666157409662327.0
std,delta_B,2008,4782960686313921.0
std,delta_B,2009,4389144705590277.5
std,delta_B,2010,3882115297187331.0
std,delta_B,2011,4086548208707684.5
std,delta_B,2012,4087470666213152.0
std,delta_B,2013,4162322483709153.5
std,delta_B,2014,4227333848896817.5
std,delta_B,2015,4225993307835914.5
std,delta_B,2016,4537292553491042.0
std,delta_B,2017,4707680710010059.0
std,delta_B,2018,4936113071825323.0
std,delta_B,2019,5059909702325288.0
std,delta_C,1995,0.0
std,delta_C,1996,506394358335869.25
std,delta_C,1997,944584599637952.8
std,delta_C,1998,1398193544402446.8
std,delta_C,1999,1860041483424164.8
std,delta_C,2000,2329481945083707.0
std,delta_C,2001,2801854257116722.0
std,delta_C,2002,3280130526849738.0
std,delta_C,2003,3771575162312650.5
std,delta_C,2004,4272734811024804.0
std,delta_C,2005,4783759577643525.0
std,delta_C,2006,5305185276571606.0
std,delta_C,2007,5836027076154814.0
std,delta_C,2008,6372998145767523.0
std,delta_C,2009,6905565202151897.0
std,delta_C,2010,7456410374384192.0
std,delta_C,2011,8019204254431287.0
std,delta_C,2012,8587813894250559.0
std,delta_C,2013,9160210611799856.0
std,delta_C,2014,9735701902092546.0
std,delta_C,2015,1.0311797387829712e+16
std,delta_C,2016,1.0888411675312998e+16
std,delta_C,2017,1.1471314570077682e+16
std,delta_C,2018,1.2062362171147112e+16
std,delta_C,2019,1.2656741314162836e+16
