pool,model,period,mean,std
delta_B,CABLE-POP,1996-2000,944794279194841.6,583064854857540.2
delta_B,CABLE-POP,2001-2010,1215421961571961.5,548579724072091.1
delta_B,CABLE-POP,2011-2019,1031601800344149.4,498352969774958.5
delta_B,CLASSIC,1996-2000,2592929139532621.0,802127758095202.1
delta_B,CLASSIC,2001-2010,1283955333454016.0,841785748459412.6
delta_B,CLASSIC,2011-2019,1731024779360497.8,1156887728665433.0
delta_B,CLASSIC-N,1996-2000,2051715860973081.5,635523694485125.8
delta_B,CLASSIC-N,2001-2010,916460254760486.4,1178382185310924.2
delta_B,CLASSIC-N,2011-2019,1806770920050019.5,1240287630404176.0
delta_B,CLM5.0,1996-2000,-132723786477747.2,657574491514704.0
delta_B,CLM5.0,2001-2010,861429009693312.0,794637433719307.9
delta_B,CLM5.0,2011-2019,1278046606999040.0,1254819945549512.2
delta_B,DLEM,1996-2000,504641005389094.4,507155754569768.1
delta_B,DLEM,2001-2010,335129578908332.8,385420813911742.4
delta_B,DLEM,2011-2019,274417731156849.78,394216033967209.06
delta_B,IBIS,1996-2000,-63691074560819.2,277482253778877.9
delta_B,IBIS,2001-2010,504935693535974.4,604847725630704.0
delta_B,IBIS,2011-2019,524748676400000.0,746993253096340.4
delta_B,ISAM,1996-2000,1007943724587801.6,321255445620404.0
delta_B,ISAM,2001-2010,1050045199230233.6,507956008672088.2
delta_B,ISAM,2011-2019,949688788277034.6,1311435182171467.0
delta_B,ISBA-CTRIP,1996-2000,518103655402483.2,393652494699171.4
delta_B,ISBA-CTRIP,2001-2010,794373273914048.0,390056100534330.75
delta_B,ISBA-CTRIP,2011-2019,1529534616720455.0,635009409579506.9
delta_B,JSBACH,1996-2000,1282421101325952.0,790938202710064.0
delta_B,JSBACH,2001-2010,1007130300068294.4,634735661909090.5
delta_B,JSBACH,2011-2019,1106658055653034.6,670291925878582.0
delta_B,JULES-ES-1.1,1996-2000,,
delta_B,JULES-ES-1.1,2001-2010,,
delta_B,JULES-ES-1.1,2011-2019,,
delta_B,LPJ,1996-2000,755073904442944.0,946618548820100.4
delta_B,LPJ,2001-2010,798577056915398.4,1060312994056679.6
delta_B,LPJ,2011-2019,740174355580558.2,693594759273539.1
delta_B,LPJ-GUESS,1996-2000,1479538178756096.0,994590489158364.8
delta_B,LPJ-GUESS,2001-2010,1629888142270310.5,736052893333408.0
delta_B,LPJ-GUESS,2011-2019,1829954657817273.0,932695433065468.0
delta_B,LPX-Bern,1996-2000,240329839510860.8,803417740011137.9
delta_B,LPX-Bern,2001-2010,-111837988360652.8,1056543764287126.0
delta_B,LPX-Bern,2011-2019,108371720718200.89,935193272372428.8
delta_B,OCN,1996-2000,682655653207616.0,652305787288757.8
delta_B,OCN,2001-2010,934126660885260.8,535205009312153.3
delta_B,OCN,2011-2019,1331383077583054.2,783403091225081.8
delta_B,ORCHIDEE,1996-2000,710967174401625.6,509285185501062.1
delta_B,ORCHIDEE,2001-2010,800107898342240.0,406152202283017.25
delta_B,ORCHIDEE,2011-2019,1287335740255609.0,498792422987207.3
delta_B,ORCHIDEEv3,1996-2000,359875066465228.8,459845342459361.7
delta_B,ORCHIDEEv3,2001-2010,437154197557920.0,352875755781165.44
delta_B,ORCHIDEEv3,2011-2019,727782985149809.8,494259531685886.06
delta_B,SDGVM,1996-2000,1190622889370342.5,964166174672536.4
delta_B,SDGVM,2001-2010,1041368784735328.0,1699311634868667.8
delta_B,SDGVM,2011-2019,1147102499371477.2,1004313980518304.2
delta_B,VISIT,1996-2000,916661643892992.0,339578806597036.4
delta_B,VISIT,2001-2010,1011384883393785.6,595939813949103.6
delta_B,VISIT,2011-2019,1236178666193749.2,752952128043365.2
delta_B,YIBs,1996-2000,-480770014568998.4,156246750589582.2
delta_B,YIBs,2001-2010,-134241822171673.6,356926742000406.4
delta_B,YIBs,2011-2019,-27342051785464.89,214387568304560.1
delta_C,CABLE-POP,1996-2000,1439899754517328.2,849365495156186.6
delta_C,CABLE-POP,2001-2010,1515485583084322.5,625425011031287.0
delta_C,CABLE-POP,2011-2019,1611876276586689.8,820149289440638.6
delta_C,CLASSIC,1996-2000,3141450490052667.0,917580719409399.2
delta_C,CLASSIC,2001-2010,1739152994092420.0,1182342059134717.5
delta_C,CLASSIC,2011-2019,2015500426872221.2,1495904059941898.8
delta_C,CLASSIC-N,1996-2000,2640238721793938.0,1140045701865594.5
delta_C,CLASSIC-N,2001-2010,1213536118739530.5,1445579915016786.0
delta_C,CLASSIC-N,2011-2019,1711381193442483.8,1468790343567234.8
delta_C,CLM5.0,1996-2000,158939446130330.5,497987107283768.0
delta_C,CLM5.0,2001-2010,951725669888886.2,676675951326867.1
delta_C,CLM5.0,2011-2019,1607280217452400.2,840692516732476.4
delta_C,DLEM,1996-2000,673627985938796.1,824408453541096.0
delta_C,DLEM,2001-2010,653337269449537.6,381624755444547.94
delta_C,DLEM,2011-2019,786868184124698.9,397626828621838.06
delta_C,IBIS,1996-2000,2598732491342346.0,909692524897025.5
delta_C,IBIS,2001-2010,1102506401694665.2,909116302544178.4
delta_C,IBIS,2011-2019,1361356605579515.0,1039034336318454.2
delta_C,ISAM,1996-2000,361257402583643.7,696294643313136.2
delta_C,ISAM,2001-2010,207426614242100.44,615152894787137.1
delta_C,ISAM,2011-2019,445501616863420.4,940586037425762.1
delta_C,ISBA-CTRIP,1996-2000,1308621606653843.2,501126951547391.06
delta_C,ISBA-CTRIP,2001-2010,1498674035463768.2,536628388856109.9
delta_C,ISBA-CTRIP,2011-2019,2228358338434208.5,541605653832776.5
delta_C,JSBACH,1996-2000,1967964526504275.2,672922862922435.0
delta_C,JSBACH,2001-2010,1527203499712504.8,928537815735071.2
delta_C,JSBACH,2011-2019,1947867884949392.2,932105359647006.6
delta_C,JULES-ES-1.1,1996-2000,206233795811226.5,1389249356447318.2
delta_C,JULES-ES-1.1,2001-2010,648743484004779.6,814452417288515.9
delta_C,JULES-ES-1.1,2011-2019,903572996569540.1,774847154443163.8
delta_C,LPJ,1996-2000,1056906598793044.2,1154235230157360.0
delta_C,LPJ,2001-2010,807838669970083.2,1025575907816252.8
delta_C,LPJ,2011-2019,1023444356937095.8,764378883412080.5
delta_C,LPJ-GUESS,1996-2000,1744298599691589.5,1431616233257891.5
delta_C,LPJ-GUESS,2001-2010,1431575632707394.5,954500717698086.5
delta_C,LPJ-GUESS,2011-2019,2309586200049756.5,727215778527425.4
delta_C,LPX-Bern,1996-2000,1688905734920695.0,684841719988581.2
delta_C,LPX-Bern,2001-2010,595375204737745.2,825193514915374.6
delta_C,LPX-Bern,2011-2019,1144995405623590.8,813415500020822.2
delta_C,OCN,1996-2000,1459703752898350.8,863323365862518.6
delta_C,OCN,2001-2010,1636455447996963.5,619251785312905.5
delta_C,OCN,2011-2019,2454540797166108.5,610416900630466.9
delta_C,ORCHIDEE,1996-2000,1937158035205867.2,684960645781860.6
delta_C,ORCHIDEE,2001-2010,1704072670674617.5,683056269423957.5
delta_C,ORCHIDEE,2011-2019,2216348996386365.8,706840956372550.9
delta_C,ORCHIDEEv3,1996-2000,1181923485613208.5,710928308026504.2
delta_C,ORCHIDEEv3,2001-2010,1173906965701979.2,472544494161598.6
delta_C,ORCHIDEEv3,2011-2019,1486004842897905.0,555872325987698.3
delta_C,SDGVM,1996-2000,1546411391141612.8,901807458879018.6
delta_C,SDGVM,2001-2010,1314839751530185.0,1092856291541025.2
delta_C,SDGVM,2011-2019,1896634598022816.0,747817786828624.5
delta_C,VISIT,1996-2000,1465053014977611.2,983722459344834.5
delta_C,VISIT,2001-2010,1323440398815540.0,956506689731488.0
delta_C,VISIT,2011-2019,2045394867345296.5,843729300321653.6
delta_C,YIBs,1996-2000,658930546256597.5,383037082633052.3
delta_C,YIBs,2001-2010,1100815430320824.2,654137362397317.8
delta_C,YIBs,2011-2019,1439108734439725.0,676339800178913.6
delta_B,CABLE-POP,1996-2019,1090108633949632.0,525381204799827.56
delta_B,CLASSIC,1996-2019,1724309251935322.8,1050262966605911.1
delta_B,CLASSIC-N,1996-2019,1486838338871685.2,1183019097528894.8
delta_B,CLM5.0,1996-2019,810545442813989.4,1072399404185135.2
delta_B,DLEM,1996-2019,347677516518352.0,405510203601375.5
delta_B,IBIS,1996-2019,393901652089818.7,638914619790269.4
delta_B,ISAM,1996-2019,1003640404572277.4,848059563560574.6
delta_B,ISBA-CTRIP,1996-2019,1012502606943208.0,636529078892881.5
delta_B,JSBACH,1996-2019,1101805458674584.0,658576302779471.9
delta_B,JULES-ES-1.1,1996-2019,,
delta_B,LPJ,1996-2019,767612887149738.6,873982857820281.1
delta_B,LPJ-GUESS,1996-2019,1673590176534960.0,839761873952206.2
delta_B,LPX-Bern,1996-2019,44108950017149.336,934787802998881.1
delta_B,OCN,1996-2019,1030708023880757.4,682145128536879.1
delta_B,ORCHIDEE,1996-2019,964247354905458.6,512543527619874.06
delta_B,ORCHIDEEv3,1996-2019,530040173927234.7,442514620930088.25
delta_B,SDGVM,1996-2019,1112113532856178.6,1283142598602548.2
delta_B,VISIT,1996-2019,1075948543714440.0,611223226537970.9
delta_B,YIBs,1996-2019,-166347781692954.66,315569649292004.25
delta_C,CABLE-POP,1996-2019,1535885045529586.2,718980349823129.5
delta_C,CLASSIC,1996-2019,2134928593043230.2,1328798518064572.2
delta_C,CLASSIC-N,1996-2019,1697457730722806.2,1445421783318632.2
delta_C,CLM5.0,1996-2019,1032394828608838.1,875294348897705.4
delta_C,DLEM,1996-2019,707638595054651.9,483913257357085.44
delta_C,IBIS,1996-2019,1511288996828084.0,1086905243798529.2
delta_C,ISAM,1996-2019,328752821129583.56,743019549831042.4
delta_C,ISBA-CTRIP,1996-2019,1732711393075615.8,646089415073820.0
delta_C,JSBACH,1996-2019,1776777858091289.8,874533110144460.5
delta_C,JULES-ES-1.1,1996-2019,652115032842907.9,933818683838722.9
delta_C,LPJ,1996-2019,940579954420829.9,927248160568925.1
delta_C,LPJ-GUESS,1996-2019,1825980213582487.2,1028343305941416.9
delta_C,LPX-Bern,1996-2019,1029301640524718.5,871691626608323.8
delta_C,OCN,1996-2019,1906414184123181.8,775829080615653.5
delta_C,ORCHIDEE,1996-2019,1944735743760533.2,701433573586309.8
delta_C,ORCHIDEEv3,1996-2019,1292613777965290.8,553333337011540.7
delta_C,SDGVM,1996-2019,1581256910550635.8,934528758826609.1
delta_C,VISIT,1996-2019,1623675952881296.8,942426554400595.1
delta_C,YIBs,1996-2019,1135616068518698.0,661836755564311.8
